BK195,煤,,57.580,0.500,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡型煤,XC03,煤,,68.000,0.850,黑褐色，条痕呈褐色，弱沥青光泽，具有参差状断口，条带状 结构，层状构造，以暗煤为主，亮煤次之，含镜煤和丝炭，外生 裂隙发育。,BK173,泥岩,,73.430,0.300,灰绿色，泥质结构，块状，细腻，见煤线，易碎，参差状断口,BK156,砂质泥岩,,71.660,15.310,  灰黑色，泥质粉砂结构。巨厚层状，主要成分为粘土矿物，含少量砂质。岩质较软手掰易断，风化后易开裂，断口呈棱角状。,BK144,煤,5煤,76.890,0.340,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸6层,110,泥岩,,75.700,0.280,BK119,煤,5煤,42.300,7.930,黑色，柱状，块状、棕褐色条痕、弱沥青光泽，以暗煤为主，亮煤次之 ，夹镜煤条带。半暗型煤，断口平坦状-阶梯状。
BK195,泥岩,,58.600,1.020,黑灰色，泥质结构，块状构造，含炭质，断口平坦状，松软，固结程度 差,XC03,炭质泥岩,,71.510,3.510,灰黑色，泥质结构，层状构造，主要矿物成分为粘土矿物及有 机质，有机质含量20-30%，断口不平整，局部含炭屑、炭线、植 物茎叶化石；岩芯为扁柱状、块状，局部短柱状，节长10-12cm， RQD=15%，岩体固结程度差，易风化，岩质较软，裂隙不发育。,BK173,煤,,73.800,0.370,黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物 茎化石，该层煤，煤质于74.95米处标志层为界限，以上煤质较差，煤层风 氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK156,泥岩,,77.350,5.690,  灰黑色，泥质结构。巨厚层状，岩质较软，岩芯多呈块状，风化后易开裂。,BK144,泥岩,5煤,77.460,0.570,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹粉砂岩薄层,110,砂质泥岩,,75.920,0.220,BK119,泥岩,,47.850,5.550,黑色，泥质结构。具厚层状，风化后易开裂。
BK195,煤,,58.990,0.390,黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡 光泽，呈褐色条痕，断口平坦状，污手，易碎，属暗淡型煤，其中有炭质 泥岩夹矸2层，泥岩夹矸13层。,XC03,5煤,5煤,71.850,0.340,黑褐色，条痕呈褐色，弱沥青光泽，具有参差状断口，条带状 结构，层状构造，以暗煤为主，亮煤次之，含镜煤和丝炭，外生 裂隙发育。,BK173,泥岩,,74.200,0.400,灰绿色，泥质结构，块状，细腻，见煤线，易碎，参差状断口,BK156,炭质泥岩,,78.550,1.200,  灰黑色，条带状结构，块状构造，含泥比重较大。,BK144,炭质泥岩,5煤,78.150,0.690,灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。,110,泥岩,,76.220,0.300,BK119,粉砂岩,,49.650,1.800,"灰黑色。粉砂状结构,厚层状、岩质细腻，半坚硬"
BK195,泥岩,,60.830,1.840,黑灰色，泥质结构，块状构造，含炭质，断口平坦状，松软，固结程度 差,XC03,砂质泥岩,5煤,71.940,0.090,灰色、灰黑色，下部含炭质泥岩夹层，泥质结构，块状构造， 主要矿物成分为粘土矿物及长石、石英，岩石断口不平整，局部 含砂砾石，粒径0. 1-2cm；岩芯呈柱状、短柱状，节长10-26cm， 局部为扁柱状、块状，RQD=46%，岩体固结程度差，易风化，岩质 较软，裂隙不发育。,BK173,炭质泥岩,,74.500,0.300,黑色，块状，含丝炭，含煤线，棱角状断口，半坚硬。,BK156,煤,5煤,80.310,1.760,  黑色，柱状，块状。棕褐色条痕，弱沥青光泽，以暗煤为主，亮煤次之夹镜煤条带。半暗型煤，断口呈平坦状-阶梯状。,BK144,煤,5煤,79.410,1.260,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸6层,110,砂质泥岩,,76.450,0.230,BK119,泥岩,,55.000,5.350,黑色，泥质结构。具厚层状，风化后易开裂。
BK195,煤,5煤,61.160,0.330,黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡 光泽，呈褐色条痕，断口平坦状，污手，易碎，属暗淡型煤，其中有炭质 泥岩夹矸2层，泥岩夹矸13层。,XC03,5煤,5煤,72.700,0.760,黑褐色，条痕呈褐色，弱沥青光泽，具有参差状断口，条带状 结构，层状构造，以暗煤为主，亮煤次之，含镜煤和丝炭，外生 裂隙发育。,BK173,泥岩,,74.820,0.320,灰绿色，泥质结构，块状，细腻，见煤线，易碎，参差状断口,BK156,炭质泥岩,5煤,80.600,0.290,  灰黑色，条带状结构，块状构造，含泥比重较大。,BK144,炭质泥岩,5煤,80.650,1.240,灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。,110,泥岩,,77.290,0.840,BK119,粉砂岩,,56.650,1.650,"灰黑色。粉砂状结构,厚层状、岩质细腻，半坚硬"
BK195,泥岩,5煤,61.540,0.380,黑灰色，泥质结构，块状构造，含炭质，断口平坦状，松软，固结程度 差,XC03,砂质泥岩,5煤,72.920,0.220,灰色、灰黑色，下部含炭质泥岩夹层，泥质结构，块状构造， 主要矿物成分为粘土矿物及长石、石英，岩石断口不平整，局部 含砂砾石，粒径0. 1-2cm；岩芯呈柱状、短柱状，节长10-26cm， 局部为扁柱状、块状，RQD=46%，岩体固结程度差，易风化，岩质 较软，裂隙不发育。,BK173,煤,5煤,75.530,0.710,黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物 茎化石，该层煤，煤质于74.95米处标志层为界限，以上煤质较差，煤层风 氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK156,煤,5煤,80.850,0.250,  黑色，柱状，块状。棕褐色条痕，弱沥青光泽，以暗煤为主，亮煤次之夹镜煤条带。半暗型煤，断口呈平坦状-阶梯状。,BK144,煤,5煤,81.750,1.100,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸6层,110,5煤,5煤,77.680,0.390,BK119,泥岩,,58.200,1.550,黑色，泥质结构。具厚层状，风化后易开裂。
BK195,煤,5煤,62.830,1.290,黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡 光泽，呈褐色条痕，断口平坦状，污手，易碎，属暗淡型煤，其中有炭质 泥岩夹矸2层，泥岩夹矸13层。,XC03,5煤,5煤,73.240,0.320,黑褐色，条痕呈褐色，弱沥青光泽，具有参差状断口，条带状 结构，层状构造，以暗煤为主，亮煤次之，含镜煤和丝炭，外生 裂隙发育。,BK173,炭质泥岩,5煤,75.850,0.320,黑色，块状，含丝炭，含煤线，棱角状断口，半坚硬。,BK156,泥岩,5煤,81.360,0.510,  灰黑色，泥质结构。巨厚层状，岩质较软，岩芯多呈块状，风化后易开裂。,BK144,泥岩,5煤,81.910,0.160,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹粉砂岩薄层,110,泥岩,5煤,77.900,0.220,BK119,煤,5下煤,60.670,2.470,黑色，柱状，块状、棕褐色条痕、弱沥青光泽，以暗煤为主，亮煤次之 ，夹镜煤条带。半暗型煤，断口平坦状-阶梯状。
BK195,泥岩,5煤,63.140,0.310,黑灰色，泥质结构，块状构造，含炭质，断口平坦状，松软，固结程度 差,XC03,砂质泥岩,5煤,73.640,0.400,灰色、灰黑色，下部含炭质泥岩夹层，泥质结构，块状构造， 主要矿物成分为粘土矿物及长石、石英，岩石断口不平整，局部 含砂砾石，粒径0. 1-2cm；岩芯呈柱状、短柱状，节长10-26cm， 局部为扁柱状、块状，RQD=46%，岩体固结程度差，易风化，岩质 较软，裂隙不发育。,BK173,煤,5煤,76.280,0.430,黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物 茎化石，该层煤，煤质于74.95米处标志层为界限，以上煤质较差，煤层风 氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK156,煤,5煤,82.240,0.880,  黑色，柱状，块状。棕褐色条痕，弱沥青光泽，以暗煤为主，亮煤次之夹镜煤条带。半暗型煤，断口呈平坦状-阶梯状。,BK144,煤,5煤,82.290,0.380,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸6层,110,5煤,5煤,78.170,0.270,BK119,砂质泥岩,,72.150,11.480,灰黑色，灰绿色。泥质结构，巨厚层状，主要成分为粘土矿物，含少量 砂质，砂多以粉砂为主，岩质较软，手掰易断，风化后易开裂，断口呈棱 角状。
BK195,煤,5煤,63.670,0.530,黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡 光泽，呈褐色条痕，断口平坦状，污手，易碎，属暗淡型煤，其中有炭质 泥岩夹矸2层，泥岩夹矸13层。,XC03,5煤,5煤,73.860,0.220,黑褐色，条痕呈褐色，弱沥青光泽，具有参差状断口，条带状 结构，层状构造，以暗煤为主，亮煤次之，含镜煤和丝炭，外生 裂隙发育。,BK173,泥岩,5煤,76.530,0.250,灰绿色，泥质结构，块状，细腻，见煤线，易碎，参差状断口,BK156,泥岩,5煤,82.630,0.390,  灰黑色，泥质结构。巨厚层状，岩质较软，岩芯多呈块状，风化后易开裂。,BK144,泥岩,5煤,83.120,0.830,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹粉砂岩薄层,110,泥岩,5煤,78.290,0.120,BK119,细砂岩,,75.200,3.050,灰白色。细粒砂状结构，巨厚层状构造，成分以石英、长石为主。分选 中等。泥质胶结
BK195,炭质泥岩,5煤,63.890,0.220,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,XC03,含炭泥岩,5煤,74.550,0.690,,BK173,煤,5煤,77.260,0.730,黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物 茎化石，该层煤，煤质于74.95米处标志层为界限，以上煤质较差，煤层风 氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK156,煤,5煤,86.230,3.600,  黑色，柱状，块状。棕褐色条痕，弱沥青光泽，以暗煤为主，亮煤次之夹镜煤条带。半暗型煤，断口呈平坦状-阶梯状。,BK144,煤,5煤,85.380,2.260,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸6层,110,5煤,5煤,79.020,0.730,BK119,泥岩,,92.350,17.150,黑色，泥质结构。具厚层状，风化后易开裂。
