BK206,煤,5煤,69.000,0.280,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK205,泥岩,5煤,75.610,0.300,  灰色，深灰色，矿物成分主要为黏土矿物，泥质结构，块状构造，断口平坦状，局部含炭化植物碎屑，风化易碎。,BK204,泥岩,5煤,81.050,0.300,  灰色，泥质结构，块状，断口平坦，含少量炭化植物碎屑，松软，固结程度差，夹粉砂岩薄层。,BK203,煤,5煤,82.280,1.130,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK202,煤,5煤,61.700,1.740,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK201,煤,5煤,53.740,0.830,  黑色，块状，暗煤为主，含丝炭，弱沥青光泽，条痕黑褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、贝壳状棱角状，见植物茎化石。半坚硬。该层煤煤质于57.67米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未见风氧化特征。,BK200,泥岩,5煤,60.170,0.360,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，底部含炭屑，松软。
BK206,泥岩,5煤,69.260,0.260,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎，固结程度差。,BK205,煤,5煤,78.600,2.990,  黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有泥岩夹矸3层。,BK204,煤,5煤,81.530,0.480,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸4层，炭质泥岩夹矸1层。,BK203,泥岩,5煤,82.510,0.230,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,泥岩,5煤,62.360,0.660,  深灰色，黑灰色，泥质结构，块状构造，断口不规则状，风化易碎，松软，局部含炭质，夹粉砂岩薄层。,BK201,炭质泥岩,5煤,53.950,0.210,  灰黑色，细腻，松软，含较多炭屑，平坦状断口，半坚硬。,BK200,煤,5煤,60.600,0.430,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸5层，在62.10-63.10米处视为5煤夹矸标志层。
BK206,煤,5煤,70.140,0.880,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK205,泥岩,,84.500,5.900,  灰色，深灰色，矿物成分主要为黏土矿物，泥质结构，块状构造，断口平坦状，局部含炭化植物碎屑，风化易碎。,BK204,泥岩,5煤,81.790,0.260,  灰色，泥质结构，块状，断口平坦，含少量炭化植物碎屑，松软，固结程度差，夹粉砂岩薄层。,BK203,煤,5煤,83.010,0.500,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK202,煤,5煤,63.800,1.440,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK201,煤,5煤,54.400,0.450,  黑色，块状，暗煤为主，含丝炭，弱沥青光泽，条痕黑褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、贝壳状棱角状，见植物茎化石。半坚硬。该层煤煤质于57.67米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未见风氧化特征。,BK200,炭质泥岩,5煤,60.880,0.280,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软
BK206,炭质泥岩,5煤,70.380,0.240,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK205,细粒砂岩,,88.700,4.200,  深灰色，矿物成分以石英、长石为主，含少量云母，钙质胶结，细粒砂状结构，厚层状构造，均匀层理。,BK204,煤,5煤,83.550,1.760,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸4层，炭质泥岩夹矸1层。,BK203,泥岩,5煤,83.390,0.380,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,炭质泥岩,5煤,64.040,0.240,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK201,炭质泥岩,5煤,54.580,0.180,  灰黑色，细腻，松软，含较多炭屑，平坦状断口，半坚硬。,BK200,煤,5煤,61.250,0.370,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸5层，在62.10-63.10米处视为5煤夹矸标志层。
BK206,煤,5煤,70.760,0.380,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK205,砂质泥岩,,94.110,5.410,  灰色，矿物成分主要为黏土矿物，含少量长石、石英等，泥质结构，块状构造，砂多以粉砂为主，分布不均，断口平坦状。,BK204,炭质泥岩,5煤,83.840,0.290,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK203,炭质泥岩,5煤,83.750,0.360,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK202,煤,5煤,64.450,0.410,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK201,煤,5煤,55.050,0.470,  黑色，块状，暗煤为主，含丝炭，弱沥青光泽，条痕黑褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、贝壳状棱角状，见植物茎化石。半坚硬。该层煤煤质于57.67米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未见风氧化特征。,BK200,炭质泥岩,5煤,61.450,0.200,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软
BK206,泥岩,5煤,71.05,0.290,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎，固结程度差。,BK205,煤,,94.790,0.680,  黑褐色，块状，暗淡型煤。,BK204,煤,5煤,85.460,1.620,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸4层，炭质泥岩夹矸1层。,BK203,泥岩,5煤,84.050,0.300,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,炭质泥岩,5煤,64.640,0.190,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK201,炭质泥岩,5煤,55.260,0.210,  灰黑色，细腻，松软，含较多炭屑，平坦状断口，半坚硬。,BK200,煤,5煤,61.750,0.300,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸5层，在62.10-63.10米处视为5煤夹矸标志层。
BK206,煤,5煤,72.190,1.140,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK205,泥岩,,97.000,2.210,  灰色，深灰色，矿物成分主要为黏土矿物，泥质结构，块状构造，断口平坦状，风化易碎。,BK204,砂质泥岩,,98.950,13.490,  深灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口平坦状，含细小炭屑。,BK203,煤,5煤,85.150,1.100,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK202,煤,5煤,66.500,1.860,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK201,煤,5煤,55.610,0.350,  黑色，块状，暗煤为主，含丝炭，弱沥青光泽，条痕黑褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、贝壳状棱角状，见植物茎化石。半坚硬。该层煤煤质于57.67米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未见风氧化特征。,BK200,泥岩,5煤,62.510,0.760,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，底部含炭屑，松软。
BK206,泥岩,,80.000,7.810,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑及茎叶化石，风化易碎，松软。,BK205,细粒砂岩,,104.300,7.300,  深灰色，矿物成分以石英、长石为主，含少量云母，钙质胶结，细粒砂状结构，厚层状构造，均匀层理。,BK204,煤,,99.470,0.520,  黑褐色，块状，半暗型。,BK203,泥岩,5煤,85.400,0.250,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,泥岩,5煤,66.700,0.200,  深灰色，黑灰色，泥质结构，块状构造，断口不规则状，风化易碎，松软，局部含炭质，夹粉砂岩薄层。,BK201,炭质泥岩,5煤,55.770,0.160,  灰黑色，细腻，松软，含较多炭屑，平坦状断口，半坚硬。,BK200,炭质泥岩,5煤,62.660,0.150,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软
BK206,细粒砂岩,,83.360,3.360,  灰白色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母少量，分选好，泥质胶结，胶结差，松软易碎。,BK205,泥岩,,108.250,3.950,  灰色，深灰色，矿物成分主要为黏土矿物，泥质结构，块状构造，断口平坦状，局部含炭化植物碎屑，风化易碎。,BK204,砂质泥岩,,108.660,9.190,  深灰色，泥质结构，块状，砂多以粉砂为主，分布不均一，断口平坦状，含少量炭屑，夹煤线。,BK203,煤,5煤,85.710,0.310,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK202,煤,5煤,67.010,0.310,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK201,煤,5煤,56.080,0.310,  黑色，块状，暗煤为主，含丝炭，弱沥青光泽，条痕黑褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、贝壳状棱角状，见植物茎化石。半坚硬。该层煤煤质于57.67米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未见风氧化特征。,BK200,泥岩,5煤,62.860,0.200,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，底部含炭屑，松软。
BK206,泥岩,,101.240,17.880,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物茎叶化石，风化易碎。,BK205,煤,,108.780,0.530,  黑褐色，块状，暗淡型煤。,BK204,煤,5下煤,109.100,0.440,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，易碎，污手，其中有泥岩夹矸1层，炭质泥岩夹矸2层。煤层结构；0,BK203,泥岩,5煤,86.070,0.360,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,泥岩,5煤,67.250,0.240,  深灰色，黑灰色，泥质结构，块状构造，断口不规则状，风化易碎，松软，局部含炭质，夹粉砂岩薄层。,BK201,炭质泥岩,5煤,56.310,0.230,  灰黑色，细腻，松软，含较多炭屑，平坦状断口，半坚硬。,BK200,煤,5煤,64.960,2.100,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸5层，在62.10-63.10米处视为5煤夹矸标志层。
