BK049,泥岩,,57.950,5.450,  灰白色、深灰色，巨厚层状，块状构造，参差断口，半坚硬，可见少量炭屑。,BK028,5煤,5煤,77.890,0.570,BK029,5煤,5煤,70.620,0.870,BK030,5煤,5煤,66.110,1.260,BK031,炭质泥岩,5煤,53.920,0.190,BK032,泥岩,5煤,56.150,0.420,16-1,泥岩,5煤,58.420,0.500,16-2,细粒砂岩,,41.990,2.030,684,细粒砂岩,,45.500,0.700,607,泥岩,5煤,52.520,0.340,444,5煤,5煤,48.100,0.270,719,泥岩,5煤,34.310,0.530,687,泥岩,5煤,39.380,1.480,404,泥岩,,70.840,3.590
BK049,砂质泥岩,,63.100,5.150,  深灰色，巨厚层状，均匀层理，块状构造，平坦状断口，断口见少量炭屑，顶部夹浅色薄层粉砂岩及少量长石碎屑，半坚硬。,BK028,泥岩,5煤,78.870,0.980,BK029,含炭泥岩,5煤,71.150,0.530,BK030,炭质泥岩,5煤,66.460,0.350,BK031,5煤,5煤,55.290,1.370,BK032,5煤,5煤,56.930,0.780,16-1,5煤,5煤,59.220,0.800,16-2,泥岩,,45.090,3.100,684,泥岩,,47.050,1.550,607,5煤,5煤,52.690,0.170,444,泥岩,5煤,49.040,0.940,719,5煤,5煤,34.410,0.100,687,5煤,5煤,39.730,0.350,404,煤,,71.000,0.160
BK049,泥岩,,72.500,9.400,  灰白色、深灰色，巨厚层状，块状构造，参差断口，半坚硬，可见少量炭屑。,BK028,5煤,5煤,79.470,0.600,BK029,5煤,5煤,72.090,0.940,BK030,5煤,5煤,67.100,0.640,BK031,炭质泥岩,5煤,55.540,0.250,BK032,泥岩,5煤,57.110,0.180,16-1,泥岩,5煤,59.570,0.350,16-2,细粒砂岩,,51.160,6.070,684,中砾岩,,47.400,0.350,607,泥岩,5煤,52.860,0.170,444,5煤,5煤,49.390,0.350,719,泥岩,5煤,35.280,0.870,687,泥岩,5煤,39.860,0.130,404,粉砂岩,,74.290,3.290
BK049,泥质粉砂岩,,77.600,5.100,  灰色、巨厚层状，均匀层理，泥质胶结，平坦状断口，坚硬，底部夹深灰色薄层泥岩。,BK028,泥岩,5煤,79.920,0.450,BK029,炭质泥岩,5煤,72.280,0.190,BK030,含炭泥岩,5煤,67.360,0.260,BK031,5煤,5煤,56.230,0.690,BK032,5煤,5煤,57.640,0.530,16-1,5煤,5煤,61.220,1.650,16-2,泥岩,,62.040,10.880,684,泥岩,,50.640,3.240,607,5煤,5煤,53.520,0.660,444,泥岩,5煤,49.590,0.200,719,炭质泥岩,5煤,35.690,0.410,687,5煤,5煤,41.620,1.760,404,5下煤,5下煤,74.490,0.200
BK049,粉砂质泥岩,,83.800,6.200,  灰色、深灰色，巨厚层状，均匀层理，平坦状断口，遇水较软，夹有浅黑薄层粉砂岩。,BK028,5煤,5煤,83.390,3.470,BK029,5煤,5煤,72.760,0.480,BK030,5煤,5煤,67.950,0.590,BK031,泥岩,5煤,56.570,0.340,BK032,含炭泥岩,5煤,58.710,1.070,16-1,泥岩,5煤,61.870,0.650,16-2,5煤,5煤,63.040,1.000,684,粉砂岩,,51.640,1.000,607,泥岩,5煤,53.760,0.240,444,5煤,5煤,50.570,0.980,719,泥岩,5煤,35.900,0.210,687,泥岩,5煤,41.770,0.150,404,炭质泥岩,5下煤,74.590,0.100
BK049,泥岩,,89.200,5.400,  灰白色、深灰色，巨厚层状，块状构造，参差断口，半坚硬，可见少量炭屑。,BK028,泥岩,5煤,84.060,0.670,BK029,含炭泥岩,5煤,73.440,0.680,BK030,泥岩,5煤,68.160,0.210,BK031,5煤,5煤,56.900,0.330,BK032,5煤,5煤,61.470,2.760,16-1,5煤,5煤,62.870,1.000,16-2,泥岩,5煤,63.290,0.250,684,中砾岩,,51.940,0.300,607,5煤,5煤,54.000,0.240,444,泥岩,5煤,50.780,0.210,719,5煤,5煤,36.380,0.480,687,5煤,5煤,43.190,1.420,404,5下煤,5下煤,74.890,0.300
BK049,泥质粉砂岩,,90.000,0.800,  灰色、巨厚层状，均匀层理，泥质胶结，平坦状断口，坚硬，底部夹深灰色薄层泥岩。,BK028,5煤,5煤,87.390,3.330,BK029,5煤,5煤,73.900,0.460,BK030,5煤,5煤,68.720,0.560,BK031,泥岩,5煤,57.050,0.150,BK032,炭质泥岩,5煤,61.860,0.390,16-1,泥岩,5煤,63.220,0.350,16-2,5煤,5煤,64.090,0.800,684,泥岩,,52.200,0.260,607,泥岩,5煤,54.100,0.100,444,5煤,5煤,51.280,0.500,719,泥岩,5煤,37.610,1.230,687,泥岩,5煤,43.330,0.140,404,泥岩,,76.750,1.860
BK049,炭质泥岩,,93.18,3.18,"  深灰色、灰黑色，均匀层理，泥质胶结，平坦状断口，见有保存较好植物茎叶化石，顶部夹0. 5-8. 0cm薄煤层及劣质煤线,松软.",BK028,泥岩,5煤,88.020,0.630,BK029,炭质泥岩,5煤,74.110,0.210,BK030,炭质泥岩,5煤,69.340,0.620,BK031,5煤,5煤,58.240,1.190,BK032,5煤,5煤,64.750,2.890,16-1,5煤,5煤,64.770,1.550,16-2,泥岩,5煤,64.490,0.400,684,中砾岩,,52.400,0.200,607,5煤,5煤,54.300,0.200,444,泥岩,5煤,51.850,0.570,719,5煤,5煤,37.750,0.140,687,5煤,5煤,45.330,2.000,404,粉砂岩,,78.800,2.050
BK049,5煤,5煤,93.65,0.47,  黑褐色，条痕呈浅褐色，暗淡光泽，木质结构，层状构造，平坦断口，以暗煤为主，含丝炭及植物碎片，半坚硬。,BK028,5煤,5煤,88.770,0.750,BK029,5煤,5煤,74.820,0.710,BK030,5煤,5煤,70.050,0.710,BK031,泥岩,5煤,58.930,0.690,BK032,含炭泥岩,5煤,65.220,0.470,16-1,泥岩,5煤,65.170,0.400,16-2,5煤,5煤,64.890,0.400,684,泥岩,,59.900,7.500,607,泥岩,5煤,56.800,2.500,444,5煤,5煤,52.510,0.660,719,泥岩,5煤,37.920,0.170,687,泥岩,5煤,45.500,0.170,404,泥岩,,82.900,4.100
BK049,泥岩,5煤,94.45,0.800,  灰白色、深灰色，巨厚层状，块状构造，参差断口，半坚硬，可见少量炭屑。,BK028,泥岩,5煤,89.140,0.370,BK029,炭质泥岩,5煤,74.990,0.170,BK030,含炭泥岩,5煤,70.410,0.360,BK031,5煤,5煤,59.380,0.450,BK032,5煤,5煤,65.940,0.720,16-1,5煤,5煤,71.220,6.050,16-2,泥岩,5煤,65.140,0.250,684,中砾岩,,60.300,0.400,607,5煤,5煤,56.870,0.070,444,泥岩,5煤,52.650,0.140,719,5煤,5煤,39.490,1.570,687,5煤,5煤,45.920,0.420,404,粉砂岩,,86.400,3.500
