1-3,泥岩,6煤,239.770,0.300,1-1,炭质泥岩,,213.180,1.700,,,,,
1-3,6煤,6煤,240.070,0.300,1-1,细粒砂岩,,213.380,0.200,,,,,
1-3,泥岩,6煤,240.270,0.200,1-1,泥岩,,214.080,0.700,,,,,
1-3,6煤,6煤,248.590,8.320,1-1,炭质泥岩,,214.580,0.500,,,,,
1-3,泥岩,6煤,249.090,0.500,1-1,泥岩,,216.260,1.680,,,,,
1-3,6煤,6煤,250.640,1.550,1-1,6煤,6煤,217.160,0.900,,,,,
1-3,泥岩,6煤,251.470,0.830,1-1,炭质泥岩,6煤,218.610,1.450,,,,,
1-3,6煤,6煤,252.320,0.850,1-1,6煤,6煤,219.210,0.600,,,,,
1-3,泥岩,6煤,253.000,0.680,1-1,泥岩,6煤,219.510,0.300,,,,,
1-3,6煤,6煤,253.700,0.700,1-1,6煤,6煤,219.910,0.400,,,,,
1-3,泥岩,6煤,253.900,0.200,1-1,泥岩,6煤,220.130,0.220,,,,,
1-3,6煤,6煤,255.550,1.650,1-1,6煤,6煤,244.730,24.600,,,,,
1-3,泥岩,6煤,256.450,0.900,1-1,泥岩,6煤,244.930,0.200,,,,,
1-3,6煤,6煤,258.150,1.700,1-1,6煤,6煤,253.730,8.800,,,,,
1-3,泥岩,6煤,258.550,0.400,1-1,泥岩,6煤,254.100,0.370,,,,,
1-3,6煤,6煤,259.050,0.500,1-1,6煤,6煤,259.800,5.700,,,,,
1-3,泥岩,6煤,259.200,0.150,1-1,泥岩,6煤,260.300,0.500,,,,,
1-3,6煤,6煤,259.400,0.200,1-1,6煤,6煤,260.500,0.200,,,,,
1-3,泥岩,6煤,259.800,0.400,1-1,粉砂岩,,273.750,13.250,,,,,
1-3,6煤,6煤,261.000,1.200,,,,,,,,,,
1-3,泥岩,6煤,261.150,0.150,,,,,,,,,,
1-3,6煤,6煤,261.600,0.450,,,,,,,,,,
1-3,泥岩,6煤,262.370,0.770,,,,,,,,,,
1-3,6煤,6煤,271.570,9.200,,,,,,,,,,
1-3,泥岩,6煤,272.070,0.500,,,,,,,,,,
1-3,6煤,6煤,316.890,44.820,,,,,,,,,,
1-3,泥岩,6煤,317.090,0.200,,,,,,,,,,
1-3,6煤,6煤,320.070,2.980,,,,,,,,,,
1-3,泥岩,6煤,320.170,0.100,,,,,,,,,,
1-3,6煤,6煤,321.570,1.400,,,,,,,,,,
1-3,泥岩,6煤,321.970,0.400,,,,,,,,,,
1-3,6煤,6煤,322.770,0.800,,,,,,,,,,
1-3,泥岩,6煤,322.970,0.200,,,,,,,,,,
1-3,6煤,6煤,324.470,1.500,,,,,,,,,,
1-3,泥岩,6煤,324.670,0.200,,,,,,,,,,
1-3,6煤,6煤,328.470,3.800,,,,,,,,,,
1-3,泥岩,6煤,328.570,0.100,,,,,,,,,,
1-3,6煤,6煤,328.770,0.200,,,,,,,,,,
1-3,泥岩,6煤,328.960,0.190,,,,,,,,,,
1-3,6煤,6煤,329.660,0.700,,,,,,,,,,
1-3,泥岩,6煤,329.860,0.200,,,,,,,,,,
1-3,6煤,6煤,330.060,0.200,,,,,,,,,,
1-3,泥岩,6煤,330.260,0.200,,,,,,,,,,
1-3,6煤,6煤,330.560,0.300,,,,,,,,,,
1-3,泥岩,,335.400,4.840,,,,,,,,,,
1-3,6下煤,6下煤,336.500,1.100,,,,,,,,,,
1-3,粉砂岩,,341.000,4.500,,,,,,,,,,
