186,泥岩,5煤,143.010,0.130,0-1,5煤,5煤,144.130,0.300,127,7煤,7煤,404.620,11.980
186,5煤,5煤,143.210,0.200,0-1,泥岩,5煤,144.430,0.300,127,泥岩,7煤,411.220,6.600
186,细粒砂岩,,162.260,19.050,0-1,5煤,5煤,152.930,8.500,127,7煤,7煤,413.320,2.100
186,5下煤,5下煤,162.660,0.400,0-1,细粒砂岩,5煤,153.230,0.300,127,泥岩,7煤,413.410,0.090
186,泥岩,5下煤,163.140,0.480,0-1,5煤,5煤,154.330,1.100,127,7煤,7煤,413.580,0.170
186,5下煤,5下煤,163.510,0.370,0-1,细粒砂岩,5煤,154.530,0.200,127,泥岩,7煤,413.820,0.240
186,泥岩,5下煤,164.070,0.560,0-1,5煤,5煤,157.210,2.680,127,7煤,7煤,414.570,0.750
186,5下煤,5下煤,165.470,1.400,0-1,泥岩,5煤,157.410,0.200,127,泥岩,,449.470,34.900
186,细粒砂岩,5下煤,166.530,1.060,0-1,5煤,5煤,157.810,0.400,127,8煤,8煤,450.130,0.660
186,5下煤,5下煤,166.810,0.280,0-1,泥岩,5煤,158.010,0.200,127,泥岩,8煤,450.340,0.210
186,泥岩,5下煤,167.040,0.230,0-1,5煤,5煤,163.530,5.520,127,8煤,8煤,450.970,0.630
186,5下煤,5下煤,167.550,0.510,0-1,泥岩,5煤,163.580,0.050,127,泥岩,,458.440,7.470
186,泥岩,5下煤,167.900,0.350,0-1,5煤,5煤,166.030,2.450,127,9煤,9煤,458.710,0.270
186,5下煤,5下煤,168.610,0.710,0-1,泥岩,5煤,166.230,0.200,127,泥岩,9煤,458.840,0.130
186,泥岩,5下煤,169.220,0.610,0-1,5煤,5煤,168.280,2.050,127,9煤,9煤,459.600,0.760
186,5下煤,5下煤,170.610,1.390,0-1,泥岩,5煤,168.480,0.200,127,砂质泥岩,,540.810,81.210
186,泥岩,5下煤,170.780,0.170,0-1,5煤,5煤,168.580,0.100,127,10煤,10煤,541.230,0.420
186,5下煤,5下煤,170.940,0.160,0-1,泥岩,5煤,168.830,0.250,127,砂质泥岩,,603.200,61.970
186,泥岩,5下煤,171.140,0.200,0-1,5煤,5煤,170.480,1.650,127,11煤,11煤,606.200,3.000
186,5下煤,5下煤,172.640,1.500,0-1,细粒砂岩,,186.570,16.090,127,泥岩,11煤,606.300,0.100
186,泥岩,5下煤,172.970,0.330,0-1,6煤,6煤,190.570,4.000,127,11煤,11煤,607.200,0.900
186,5下煤,5下煤,173.760,0.790,0-1,泥岩,6煤,191.050,0.480,127,泥岩,11煤,609.100,1.900
186,泥岩,,205.400,31.640,0-1,6煤,6煤,192.150,1.100,127,11煤,11煤,612.130,3.030
186,煤,,205.850,0.450,0-1,泥岩,6煤,192.350,0.200,127,砂质泥岩,,690.710,78.580
186,泥岩,,206.490,0.640,0-1,6煤,6煤,196.250,3.900,127,11下煤,11下煤,691.460,0.750
186,煤,,206.630,0.140,0-1,泥岩,6煤,196.450,0.200,127,泥岩,11下煤,691.580,0.120
186,细粒砂岩,,206.910,0.280,0-1,6煤,6煤,201.320,4.870,127,11下煤,11下煤,691.860,0.280
186,6煤,6煤,208.480,1.570,0-1,泥岩,6煤,201.520,0.200,127,泥岩,11下煤,692.180,0.320
186,泥岩,6煤,208.960,0.480,0-1,6煤,6煤,203.020,1.500,127,11下煤,11下煤,692.310,0.130
186,6煤,6煤,209.090,0.130,0-1,细粒砂岩,6煤,203.340,0.320,127,泥岩,11下煤,692.470,0.160
186,泥岩,6煤,209.700,0.610,0-1,6煤,6煤,204.440,1.100,127,11下煤,11下煤,692.800,0.330
186,6煤,6煤,209.930,0.230,0-1,泥岩,6煤,204.770,0.330,127,细粒砂岩,,874.240,181.440
186,细粒砂岩,6煤,210.870,0.940,0-1,6煤,6煤,214.980,10.210,127,12煤,12煤,874.740,0.500
186,6煤,6煤,213.490,2.620,0-1,泥岩,6煤,215.480,0.500,127,细粒砂岩,,881.790,7.050
186,泥岩,6煤,214.420,0.930,0-1,6煤,6煤,218.160,2.680,,,,,
186,6煤,6煤,215.440,1.020,0-1,泥岩,6煤,218.460,0.300,,,,,
186,泥岩,6煤,216.370,0.930,0-1,6煤,6煤,223.160,4.700,,,,,
186,6煤,6煤,216.470,0.100,0-1,泥岩,6煤,223.460,0.300,,,,,
186,泥岩,6煤,217.560,1.090,0-1,6煤,6煤,245.260,21.800,,,,,
186,6煤,6煤,217.800,0.240,0-1,泥岩,6煤,245.460,0.200,,,,,
186,泥岩,6煤,218.010,0.210,0-1,6煤,6煤,264.470,19.010,,,,,
186,6煤,6煤,218.090,0.080,0-1,泥岩,6煤,264.720,0.250,,,,,
186,泥岩,6煤,218.270,0.180,0-1,6煤,6煤,277.520,12.800,,,,,
186,6煤,6煤,218.620,0.350,0-1,泥岩,6煤,277.820,0.300,,,,,
186,泥岩,6煤,219.110,0.490,0-1,6煤,6煤,293.910,16.090,,,,,
186,6煤,6煤,219.660,0.550,0-1,泥岩,6煤,294.210,0.300,,,,,
186,泥岩,6煤,220.280,0.620,0-1,6煤,6煤,298.810,4.600,,,,,
186,6煤,6煤,220.950,0.670,0-1,细粒砂岩,,301.750,2.940,,,,,
186,泥岩,6煤,221.200,0.250,0-1,煤,,302.200,0.450,,,,,
186,6煤,6煤,221.310,0.110,0-1,细粒砂岩,,305.490,3.290,,,,,
186,泥岩,6煤,222.230,0.920,0-1,6下煤,6下煤,307.090,1.600,,,,,
186,6煤,6煤,222.680,0.450,0-1,细粒砂岩,,335.750,28.660,,,,,
186,泥岩,6煤,222.990,0.310,,,,,,,,,,
186,6煤,6煤,223.240,0.250,,,,,,,,,,
186,泥岩,6煤,223.570,0.330,,,,,,,,,,
186,6煤,6煤,223.870,0.300,,,,,,,,,,
186,泥岩,6煤,224.230,0.360,,,,,,,,,,
186,6煤,6煤,224.580,0.350,,,,,,,,,,
186,泥岩,6煤,226.100,1.520,,,,,,,,,,
186,6煤,6煤,226.430,0.330,,,,,,,,,,
186,泥岩,6煤,227.150,0.720,,,,,,,,,,
186,6煤,6煤,227.360,0.210,,,,,,,,,,
186,细粒砂岩,6煤,230.310,2.950,,,,,,,,,,
186,6煤,6煤,231.100,0.790,,,,,,,,,,
186,泥岩,6煤,231.200,0.100,,,,,,,,,,
186,6煤,6煤,231.700,0.500,,,,,,,,,,
186,泥岩,6煤,231.950,0.250,,,,,,,,,,
186,6煤,6煤,232.160,0.210,,,,,,,,,,
186,泥岩,6煤,234.220,2.060,,,,,,,,,,
186,6煤,6煤,234.600,0.380,,,,,,,,,,
186,泥岩,6煤,235.610,1.010,,,,,,,,,,
186,6煤,6煤,236.060,0.450,,,,,,,,,,
186,泥岩,6煤,236.390,0.330,,,,,,,,,,
186,6煤,6煤,236.980,0.590,,,,,,,,,,
186,泥岩,6煤,237.320,0.340,,,,,,,,,,
186,6煤,6煤,237.470,0.150,,,,,,,,,,
186,泥岩,6煤,241.590,4.120,,,,,,,,,,
186,6煤,6煤,241.830,0.240,,,,,,,,,,
186,泥岩,6煤,242.340,0.510,,,,,,,,,,
186,6煤,6煤,242.680,0.340,,,,,,,,,,
186,泥岩,6煤,242.880,0.200,,,,,,,,,,
186,6煤,6煤,243.280,0.400,,,,,,,,,,
186,泥岩,6煤,245.980,2.700,,,,,,,,,,
186,6煤,6煤,246.440,0.460,,,,,,,,,,
186,泥岩,6煤,246.750,0.310,,,,,,,,,,
186,6煤,6煤,247.140,0.390,,,,,,,,,,
186,泥岩,6煤,247.690,0.550,,,,,,,,,,
186,6煤,6煤,247.840,0.150,,,,,,,,,,
186,细粒砂岩,6煤,251.940,4.100,,,,,,,,,,
186,6煤,6煤,252.500,0.560,,,,,,,,,,
186,泥岩,6煤,254.890,2.390,,,,,,,,,,
186,6煤,6煤,255.500,0.610,,,,,,,,,,
186,泥岩,6煤,255.800,0.300,,,,,,,,,,
186,6煤,6煤,255.950,0.150,,,,,,,,,,
186,泥岩,6煤,257.470,1.520,,,,,,,,,,
186,6煤,6煤,257.610,0.140,,,,,,,,,,
186,泥岩,6煤,259.100,1.490,,,,,,,,,,
186,6煤,6煤,259.400,0.300,,,,,,,,,,
186,泥岩,6煤,260.800,1.400,,,,,,,,,,
186,6煤,6煤,261.150,0.350,,,,,,,,,,
186,泥岩,6煤,262.470,1.320,,,,,,,,,,
186,6煤,6煤,262.670,0.200,,,,,,,,,,
186,泥岩,6煤,264.050,1.380,,,,,,,,,,
186,6煤,6煤,264.170,0.120,,,,,,,,,,
186,泥岩,6煤,266.000,1.830,,,,,,,,,,
186,6煤,6煤,266.300,0.300,,,,,,,,,,
186,泥岩,6煤,267.310,1.010,,,,,,,,,,
186,6煤,6煤,267.610,0.300,,,,,,,,,,
186,泥岩,6煤,267.860,0.250,,,,,,,,,,
186,6煤,6煤,268.320,0.460,,,,,,,,,,
186,泥岩,6煤,269.300,0.980,,,,,,,,,,
186,6煤,6煤,269.770,0.470,,,,,,,,,,
186,泥岩,6煤,271.590,1.820,,,,,,,,,,
186,6煤,6煤,271.760,0.170,,,,,,,,,,
186,泥岩,6煤,272.100,0.340,,,,,,,,,,
186,6煤,6煤,272.650,0.550,,,,,,,,,,
186,泥岩,6煤,272.950,0.300,,,,,,,,,,
186,6煤,6煤,273.460,0.510,,,,,,,,,,
186,泥岩,6煤,273.630,0.170,,,,,,,,,,
186,6煤,6煤,274.010,0.380,,,,,,,,,,
186,泥岩,6煤,274.610,0.600,,,,,,,,,,
186,6煤,6煤,275.110,0.500,,,,,,,,,,
186,泥岩,6煤,275.340,0.230,,,,,,,,,,
186,6煤,6煤,275.540,0.200,,,,,,,,,,
186,泥岩,6煤,276.150,0.610,,,,,,,,,,
186,6煤,6煤,276.360,0.210,,,,,,,,,,
186,泥岩,6煤,278.160,1.800,,,,,,,,,,
186,6煤,6煤,278.410,0.250,,,,,,,,,,
186,泥岩,6煤,278.940,0.530,,,,,,,,,,
186,6煤,6煤,279.100,0.160,,,,,,,,,,
186,泥岩,6煤,280.110,1.010,,,,,,,,,,
186,6煤,6煤,280.510,0.400,,,,,,,,,,
186,泥岩,6煤,281.370,0.860,,,,,,,,,,
186,6煤,6煤,281.740,0.370,,,,,,,,,,
186,泥岩,6煤,283.450,1.710,,,,,,,,,,
186,6煤,6煤,285.060,1.610,,,,,,,,,,
186,泥岩,6煤,286.060,1.000,,,,,,,,,,
186,6煤,6煤,286.620,0.560,,,,,,,,,,
186,泥岩,6煤,286.890,0.270,,,,,,,,,,
186,6煤,6煤,287.900,1.010,,,,,,,,,,
186,泥岩,6煤,290.290,2.390,,,,,,,,,,
186,6煤,6煤,290.460,0.170,,,,,,,,,,
186,泥岩,6煤,295.240,4.780,,,,,,,,,,
186,6煤,6煤,295.950,0.710,,,,,,,,,,
186,泥岩,6煤,296.410,0.460,,,,,,,,,,
186,6煤,6煤,296.650,0.240,,,,,,,,,,
186,泥岩,6煤,299.440,2.790,,,,,,,,,,
186,6煤,6煤,299.710,0.270,,,,,,,,,,
186,泥岩,6煤,301.670,1.960,,,,,,,,,,
186,6煤,6煤,301.810,0.140,,,,,,,,,,
186,泥岩,6煤,303.160,1.350,,,,,,,,,,
186,6煤,6煤,303.470,0.310,,,,,,,,,,
186,泥岩,6煤,308.680,5.210,,,,,,,,,,
186,6煤,6煤,308.820,0.140,,,,,,,,,,
186,泥岩,6煤,310.940,2.120,,,,,,,,,,
186,6煤,6煤,311.050,0.110,,,,,,,,,,
186,泥岩,6煤,311.760,0.710,,,,,,,,,,
186,6煤,6煤,312.170,0.410,,,,,,,,,,
186,泥岩,6煤,312.880,0.710,,,,,,,,,,
186,6煤,6煤,313.310,0.430,,,,,,,,,,
186,泥岩,6煤,316.360,3.050,,,,,,,,,,
186,6煤,6煤,316.540,0.180,,,,,,,,,,
186,泥岩,6煤,320.030,3.490,,,,,,,,,,
186,6煤,6煤,320.200,0.170,,,,,,,,,,
186,泥岩,6煤,323.810,3.610,,,,,,,,,,
186,6煤,6煤,323.980,0.170,,,,,,,,,,
186,泥岩,6煤,324.900,0.920,,,,,,,,,,
186,6煤,6煤,325.200,0.300,,,,,,,,,,
186,泥岩,6煤,325.810,0.610,,,,,,,,,,
186,6煤,6煤,325.980,0.170,,,,,,,,,,
186,泥岩,6煤,326.230,0.250,,,,,,,,,,
186,6煤,6煤,326.630,0.400,,,,,,,,,,
186,泥岩,6煤,326.930,0.300,,,,,,,,,,
186,6煤,6煤,327.380,0.450,,,,,,,,,,
186,泥岩,6煤,327.580,0.200,,,,,,,,,,
186,6煤,6煤,327.890,0.310,,,,,,,,,,
186,泥岩,6煤,328.240,0.350,,,,,,,,,,
186,6煤,6煤,328.500,0.260,,,,,,,,,,
186,粉砂岩,,331.550,3.050,,,,,,,,,,
186,泥岩,,331.730,0.180,,,,,,,,,,
186,6下煤,6下煤,332.030,0.300,,,,,,,,,,
186,泥岩,6下煤,332.330,0.300,,,,,,,,,,
186,6下煤,6下煤,332.680,0.350,,,,,,,,,,
186,泥岩,6下煤,333.600,0.920,,,,,,,,,,
186,6下煤,6下煤,333.750,0.150,,,,,,,,,,
186,粉砂岩,,424.970,91.220,,,,,,,,,,
186,7煤,7煤,426.470,1.500,,,,,,,,,,
186,泥岩,7煤,426.740,0.270,,,,,,,,,,
186,7煤,7煤,427.150,0.410,,,,,,,,,,
186,泥岩,7煤,427.310,0.160,,,,,,,,,,
186,7煤,7煤,427.660,0.350,,,,,,,,,,
186,泥岩,7煤,427.940,0.280,,,,,,,,,,
186,7煤,7煤,430.390,2.450,,,,,,,,,,
186,泥岩,7煤,430.630,0.240,,,,,,,,,,
186,7煤,7煤,434.530,3.900,,,,,,,,,,
186,泥岩,7煤,434.750,0.220,,,,,,,,,,
186,7煤,7煤,435.720,0.970,,,,,,,,,,
186,泥岩,7煤,435.970,0.250,,,,,,,,,,
186,7煤,7煤,442.500,6.530,,,,,,,,,,
186,泥岩,7煤,442.850,0.350,,,,,,,,,,
186,7煤,7煤,443.200,0.350,,,,,,,,,,
186,泥岩,7煤,443.630,0.430,,,,,,,,,,
186,7煤,7煤,444.090,0.460,,,,,,,,,,
186,泥岩,7煤,444.300,0.210,,,,,,,,,,
186,7煤,7煤,444.640,0.340,,,,,,,,,,
186,泥岩,7煤,444.950,0.310,,,,,,,,,,
186,7煤,7煤,445.740,0.790,,,,,,,,,,
186,泥岩,7煤,445.990,0.250,,,,,,,,,,
186,7煤,7煤,449.480,3.490,,,,,,,,,,
186,泥岩,7煤,450.320,0.840,,,,,,,,,,
186,7煤,7煤,450.610,0.290,,,,,,,,,,
186,泥岩,7煤,450.860,0.250,,,,,,,,,,
186,7煤,7煤,453.080,2.220,,,,,,,,,,
186,泥岩,7煤,453.290,0.210,,,,,,,,,,
186,7煤,7煤,454.540,1.250,,,,,,,,,,
186,泥岩,7煤,454.940,0.400,,,,,,,,,,
186,7煤,7煤,456.150,1.210,,,,,,,,,,
186,泥岩,7煤,463.550,7.400,,,,,,,,,,
186,7煤,7煤,465.200,1.650,,,,,,,,,,
186,中粒砂岩,,493.650,28.450,,,,,,,,,,
186,8煤,8煤,494.490,0.840,,,,,,,,,,
186,泥岩,8煤,494.800,0.310,,,,,,,,,,
186,8煤,8煤,495.440,0.640,,,,,,,,,,
186,泥岩,8煤,495.640,0.200,,,,,,,,,,
186,8煤,8煤,495.910,0.270,,,,,,,,,,
186,粉砂岩,,497.650,1.740,,,,,,,,,,
186,9煤,9煤,498.230,0.580,,,,,,,,,,
186,泥岩,9煤,498.580,0.350,,,,,,,,,,
186,9煤,9煤,499.420,0.840,,,,,,,,,,
186,泥岩,9煤,499.620,0.200,,,,,,,,,,
186,9煤,9煤,502.480,2.860,,,,,,,,,,
186,泥岩,9煤,502.960,0.480,,,,,,,,,,
186,9煤,9煤,503.810,0.850,,,,,,,,,,
186,粉砂岩,,596.840,93.030,,,,,,,,,,
186,10煤,10煤,597.540,0.700,,,,,,,,,,
186,泥岩,,651.310,53.770,,,,,,,,,,
186,11煤,11煤,651.540,0.230,,,,,,,,,,
186,泥岩,11煤,651.770,0.230,,,,,,,,,,
186,11煤,11煤,652.570,0.800,,,,,,,,,,
186,泥岩,11煤,652.810,0.240,,,,,,,,,,
186,11煤,11煤,653.910,1.100,,,,,,,,,,
186,泥岩,11煤,654.110,0.200,,,,,,,,,,
186,11煤,11煤,654.480,0.370,,,,,,,,,,
186,泥岩,11煤,654.750,0.270,,,,,,,,,,
186,11煤,11煤,655.060,0.310,,,,,,,,,,
186,泥岩,11煤,655.880,0.820,,,,,,,,,,
186,11煤,11煤,656.250,0.370,,,,,,,,,,
186,泥岩,11煤,656.480,0.230,,,,,,,,,,
186,11煤,11煤,656.790,0.310,,,,,,,,,,
186,泥岩,11煤,656.990,0.200,,,,,,,,,,
186,11煤,11煤,657.200,0.210,,,,,,,,,,
186,泥岩,11煤,657.310,0.110,,,,,,,,,,
186,11煤,11煤,657.840,0.530,,,,,,,,,,
186,泥岩,11煤,658.070,0.230,,,,,,,,,,
186,11煤,11煤,658.480,0.410,,,,,,,,,,
186,泥岩,11煤,658.990,0.510,,,,,,,,,,
186,11煤,11煤,662.690,3.700,,,,,,,,,,
186,泥岩,11煤,663.410,0.720,,,,,,,,,,
186,11煤,11煤,663.960,0.550,,,,,,,,,,
186,粉砂岩,,763.790,99.830,,,,,,,,,,
186,11下煤,11下煤,765.390,1.600,,,,,,,,,,
186,泥岩,11下煤,765.690,0.300,,,,,,,,,,
186,11下煤,11下煤,766.570,0.880,,,,,,,,,,
186,泥岩,11下煤,766.740,0.170,,,,,,,,,,
186,11下煤,11下煤,767.510,0.770,,,,,,,,,,
186,泥岩,11下煤,767.820,0.310,,,,,,,,,,
186,11下煤,11下煤,769.170,1.350,,,,,,,,,,
186,泥岩,11下煤,769.440,0.270,,,,,,,,,,
186,11下煤,11下煤,770.070,0.630,,,,,,,,,,
186,泥岩,11下煤,770.370,0.300,,,,,,,,,,
186,11下煤,11下煤,770.620,0.250,,,,,,,,,,
186,泥岩,11下煤,770.860,0.240,,,,,,,,,,
