BK176,炭质泥岩,5煤,82.010,0.320,"碳质泥岩:亮黑色,泥质结构,薄层状构造,岩性较脆,易破碎,污手,有轻微 滑腻感",BK153,煤,5煤,66.550,0.230,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,煤,,79.520,0.270,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸2层,BK128,煤,,83.450,0.370,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,泥岩,,62.150,6.950,  深灰色，泥质结构，细腻，松散，含炭屑，夹中砂岩薄层。
BK176,煤,5煤,85.950,3.940,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK153,泥岩,5煤,68.050,1.500,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,泥岩,,82.220,2.700,  深灰色，泥质结构，块状构造，断口平坦状，含炭屑，风化易碎。,BK128,泥岩,,83.950,0.500,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK122,煤,5煤,62.640,0.490,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
BK176,泥岩,5煤,86.420,0.470,  灰色，深灰色，泥质结构，块状构造，断口平坦状，风化后呈碎块状，含少量炭化植物碎屑。,BK153,粉砂岩,5煤,69.270,1.220,  灰绿色，粉砂状结构，见少量砾石，砾石为火山岩砾，呈次圆状，易碎，参差状断口。,BK147,煤,1煤,82.850,0.630,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸2层,BK128,煤,,84.190,0.240,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,炭质泥岩,5煤,63.090,0.450,黑色、条带状结构、块状构造、含泥比重较大。
BK176,煤,5煤,87.100,0.680,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK153,煤,5煤,69.670,0.400,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,泥岩,1煤,83.020,0.170,  深灰色，泥质结构，块状构造，断口平坦状，含炭屑，风化易碎。,BK128,泥岩,,84.910,0.720,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK122,煤,5煤,63.900,0.810,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
BK176,泥岩,5煤,87.480,0.380,  灰色，深灰色，泥质结构，块状构造，断口平坦状，风化后呈碎块状，含少量炭化植物碎屑。,BK153,泥岩,5煤,70.010,0.340,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,煤,1煤,83.840,0.820,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸2层,BK128,煤,,85.100,0.190,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,粉砂岩,5煤,65.160,1.260,  灰色，粉砂状结构，见炭屑，夹菱铁矿薄层，见擦痕，具裂隙，无充填
BK176,煤,5煤,90.590,3.110,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK153,煤,5煤,70.920,0.910,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,炭质泥岩,1煤,84.090,0.250,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。,BK128,炭质泥岩,,85.600,0.500,深灰色，深灰色，泥质结构。块状构造。成分以泥质碎屑为主，含炭质 及少量炭屑，松软，易破碎。,BK122,煤,5煤,67.660,2.500,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
BK176,泥岩,,94.360,3.770,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK153,泥岩,5煤,71.280,0.360,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,煤,1煤,84.460,0.370,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸4层，炭质泥岩夹矸8层。,BK128,煤,,85.900,0.300,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,泥岩,5煤,68.890,1.230,  深灰色，泥质结构，细腻，松散，含炭屑，夹中砂岩薄层。
BK176,粉砂岩,,97.740,3.380,  灰色，深灰色，粉砂状结构，块状构造，泥质胶结，均匀层理，含少量炭化植物碎屑。,BK153,煤,5煤,71.600,0.320,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,泥岩,,86.130,1.670,  深灰色，泥质结构，块状构造，断口平坦状，含炭屑，风化易碎。,BK128,泥岩,,86.220,0.320,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK122,煤,5煤,70.070,1.180,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
BK176,煤,5下煤,99.950,2.210,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤。,BK153,粉砂岩,5煤,73.400,1.800,  灰黑色，块状，粉砂状结构，见炭屑，与细粒砂岩互层，参差状断口。,BK147,煤,,86.370,0.240,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸4层，炭质泥岩夹矸8层。,BK128,煤,5煤,88.610,2.390,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,泥岩,5煤,70.400,0.330,  深灰色，泥质结构，细腻，松散，含炭屑，夹中砂岩薄层。
BK176,泥岩,,115.000,15.050,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK153,煤,5煤,73.560,0.160,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,炭质泥岩,,86.580,0.210,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。,BK128,泥岩,5煤,89.760,1.150,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK122,煤,5煤,70.770,0.370,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
