BK015,泥岩,5煤,85.520,1.800,BK016,5煤,5煤,83.720,1.010,BK017,5煤,5煤,76.700,0.790,BK018,5煤,5煤,63.330,0.690,13-6,5煤,5煤,60.450,0.800,13-3,煤,,103.150,0.500,13-8,细砾岩,,83.610,7.000,,,,,,13-2,砂质泥岩,,205.670,30.040,13-9,6下煤,6下煤,177.300,1.300,13-4,5煤,5煤,71.140,0.700,695,细砾岩,,26.500,3.100
BK015,5煤,5煤,86.150,0.630,BK016,泥岩,5煤,84.400,0.680,BK017,泥岩,5煤,77.010,0.310,BK018,炭质泥岩,5煤,63.600,0.270,13-6,炭质泥岩,5煤,60.650,0.200,13-3,泥岩,,117.910,14.760,13-8,含砾泥岩,,92.650,9.040,,,,,,,,,,,13-9,粉砂岩,,195.770,18.470,13-4,泥岩,5煤,71.590,0.450,695,泥岩,,30.830,4.330
BK015,泥岩,5煤,86.630,0.480,BK016,5煤,5煤,84.760,0.360,BK017,5煤,5煤,77.860,0.850,BK018,5煤,5煤,64.950,1.350,13-6,5煤,5煤,61.600,0.950,13-3,煤,,118.310,0.400,13-8,细砾岩,,105.740,13.090,,,,,,,,,,,,,,,,13-4,5煤,5煤,72.090,0.500,695,细砾岩,,32.470,1.640
BK015,5煤,5煤,87.000,0.370,BK016,炭质泥岩,5煤,84.940,0.180,BK017,泥岩,5煤,79.190,1.330,BK018,炭质泥岩,5煤,65.190,0.240,13-6,泥岩,5煤,62.000,0.400,13-3,泥岩,,134.330,16.020,13-8,含砾泥岩,,138.610,32.870,,,,,,,,,,,,,,,,13-4,泥岩,5煤,72.790,0.700,695,泥岩,,35.500,3.030
BK015,炭质泥岩,5煤,87.270,0.270,BK016,5煤,5煤,85.320,0.380,BK017,5煤,5煤,79.650,0.460,BK018,5煤,5煤,65.890,0.700,13-6,炭质泥岩,5煤,62.200,0.200,13-3,煤,,134.930,0.600,13-8,细砾岩,,140.110,1.500,,,,,,,,,,,,,,,,13-4,5煤,5煤,73.140,0.350,695,粉砂岩,,36.900,1.400
BK015,5煤,5煤,87.890,0.620,BK016,泥岩,5煤,85.550,0.230,BK017,含炭泥岩,5煤,79.840,0.190,BK018,炭质泥岩,5煤,66.550,0.660,13-6,泥岩,5煤,62.730,0.530,13-3,泥岩,,148.970,14.040,13-8,含砾泥岩,,147.030,6.920,,,,,,,,,,,,,,,,13-4,泥岩,5煤,73.240,0.100,695,泥岩,,42.000,5.100
BK015,泥岩,5煤,88.310,0.420,BK016,5煤,5煤,86.250,0.700,BK017,5煤,5煤,80.640,0.800,BK018,5煤,5煤,67.310,0.760,13-6,5煤,5煤,65.180,2.450,13-3,煤,,149.470,0.500,13-8,砂质泥岩,,155.070,8.040,,,,,,,,,,,,,,,,13-4,5煤,5煤,75.740,2.500,695,粉砂岩,,43.000,1.000
BK015,5煤,5煤,88.740,0.430,BK016,泥岩,5煤,87.700,1.450,BK017,含炭泥岩,5煤,81.690,1.050,BK018,炭质泥岩,5煤,67.500,0.190,13-6,炭质泥岩,5煤,65.330,0.150,13-3,泥岩,,153.370,3.900,13-8,细砾岩,,158.180,3.110,,,,,,,,,,,,,,,,13-4,泥岩,5煤,75.890,0.150,695,泥岩,,43.930,0.930
BK015,炭质泥岩,5煤,88.950,0.210,BK016,5煤,5煤,88.250,0.550,BK017,5煤,5煤,82.130,0.440,BK018,5煤,5煤,68.100,0.600,13-6,5煤,5煤,68.530,3.200,13-3,6煤,6煤,172.970,19.600,13-8,泥岩,,163.480,5.300,,,,,,,,,,,,,,,,13-4,5煤,5煤,79.540,3.650,695,粉砂岩,,45.000,1.070
BK015,5煤,5煤,89.490,0.540,BK016,炭质泥岩,5煤,88.760,0.510,BK017,含炭泥岩,5煤,82.400,0.270,BK018,炭质泥岩,5煤,68.680,0.580,13-6,炭质泥岩,5煤,69.040,0.510,13-3,泥岩,6煤,173.320,0.350,13-8,细砾岩,,170.260,6.780,,,,,,,,,,,,,,,,13-4,泥岩,5煤,79.740,0.200,695,细砾岩,,45.750,0.750
BK015,泥岩,5煤,90.400,0.910,BK016,5煤,5煤,92.630,3.870,BK017,5煤,5煤,83.190,0.790,BK018,5煤,5煤,69.550,0.870,13-6,5煤,5煤,69.790,0.750,13-3,6煤,6煤,190.970,17.650,13-8,泥岩,,174.160,3.900,,,,,,,,,,,,,,,,13-4,5煤,5煤,79.890,0.150,695,粉砂岩,,49.260,3.510
