8-3,6ЩЯУК,6ЩЯУК,160.150,2.250,BK003,ЗлЩАбв,,94.660,7.910,8-1,5УК,5УК,72.310,0.900
8-3,Фрбв,,169.310,9.160,BK003,6УК,6УК,97.450,2.790,8-1,Фрбв,5УК,72.510,0.200
8-3,УК,,169.710,0.400,BK003,Фрбв,6УК,97.750,0.300,8-1,5УК,5УК,73.210,0.700
8-3,Фрбв,,170.910,1.200,BK003,6УК,6УК,100.730,2.980,8-1,Фрбв,5УК,73.440,0.230
8-3,УК,,171.710,0.800,BK003,КЌЬПФрбв,6УК,101.160,0.430,8-1,5УК,5УК,75.440,2.000
8-3,Фрбв,,174.510,2.800,BK003,6УК,6УК,103.490,2.330,8-1,Фрбв,,79.350,3.910
8-3,6-1УК,6-1УК,174.910,0.400,BK003,Фрбв,6УК,103.760,0.270,8-1,ЯИСЃЩАбв,,86.310,6.960
8-3,Фрбв,6-1УК,175.010,0.100,BK003,6УК,6УК,105.460,1.700,8-1,Фрбв,,91.750,5.440
8-3,6-1УК,6-1УК,175.590,0.580,BK003,КЌЬПФрбв,6УК,105.770,0.310,8-1,ИпЛвЗжУК,,92.050,0.300
8-3,Фрбв,6-1УК,175.740,0.150,BK003,6УК,6УК,107.510,1.740,8-1,Фрбв,,92.190,0.140
8-3,6-1УК,6-1УК,179.830,4.090,BK003,Фрбв,6УК,108.300,0.790,8-1,УК,,93.040,0.850
8-3,УК,,180.720,0.890,BK003,6УК,6УК,110.480,2.180,8-1,Фрбв,,93.240,0.200
8-3,ДжСЃЩАбв,,188.660,7.940,BK003,КЌЬПФрбв,6УК,110.810,0.330,8-1,5ЯТУК,5ЯТУК,93.840,0.600
8-3,6УК,6УК,189.060,0.400,BK003,6УК,6УК,116.960,6.150,8-1,ЗлЩАбв,,117.850,24.010
8-3,Фрбв,6УК,189.360,0.300,BK003,Фрбв,6УК,117.560,0.600,8-1,ДжСЃЩАбв,,121.380,3.530
8-3,6УК,6УК,189.660,0.300,BK003,6УК,6УК,120.670,3.110,8-1,ЗлЩАбв,,139.120,17.740
8-3,Фрбв,6УК,190.260,0.600,BK003,ЗлЩАбв,6УК,121.010,0.340,8-1,Фрбв,,141.410,2.290
