BK004,ЬПжЪФрбв,5УК,61.140,0.230,BK005,ЬПжЪФрбв,5УК,46.710,0.260,BK006,6ЩЯУК,6ЩЯУК,67.710,0.660,BK007,Фрбв,,74.150,3.350
BK004,5УК,5УК,63.250,2.110,BK005,5УК,5УК,47.500,0.790,BK006,Фрбв,6ЩЯУК,68.250,0.540,BK007,ЗлЩАбв,,92.930,18.780
BK004,ЬПжЪФрбв,5УК,63.550,0.300,BK005,Фрбв,5УК,47.720,0.220,BK006,6ЩЯУК,6ЩЯУК,68.710,0.460,BK007,УК,,93.160,0.230
BK004,5УК,5УК,65.780,2.230,BK005,5УК,5УК,48.070,0.350,BK006,Фрбв,,96.420,27.710,BK007,ЩАжЪФрбв,,97.450,4.290
BK004,Фрбв,,82.500,16.720,BK005,Фрбв,5УК,48.230,0.160,BK006,6УК,6УК,99.440,3.020,BK007,6-1УК,6-1УК,98.340,0.890
BK004,ЗлЩАбв,,97.000,14.500,BK005,5УК,5УК,49.880,1.650,BK006,ЬПжЪФрбв,6УК,99.650,0.210,BK007,Фрбв,,100.590,2.250
BK004,Фрбв,,103.950,6.950,BK005,Фрбв,5УК,50.190,0.310,BK006,6УК,6УК,107.700,8.050,BK007,6УК,6УК,110.030,9.440
BK004,5ЯТУК,5ЯТУК,106.300,2.350,BK005,5УК,5УК,52.040,1.850,BK006,ЬПжЪФрбв,6УК,108.000,0.300,BK007,Фрбв,6УК,110.270,0.240
BK004,ЬПжЪФрбв,5ЯТУК,106.600,0.300,BK005,КЌЬПФрбв,5УК,56.630,4.590,BK006,6УК,6УК,110.010,2.010,BK007,6УК,6УК,113.850,3.580
BK004,5ЯТУК,5ЯТУК,109.140,2.540,BK005,5УК,5УК,58.130,1.500,BK006,ЬПжЪФрбв,6УК,110.440,0.430,BK007,ЬПжЪФрбв,6УК,114.060,0.210
BK004,Фрбв,,128.900,19.760,BK005,ФржЪЗлЩАбв,,85.570,27.440,BK006,6УК,6УК,113.090,2.650,BK007,6УК,6УК,123.170,9.110
