705,泥岩,5煤,41.110,0.130,11-2,泥岩,6煤,159.970,0.730,11-1,泥岩,6煤,176.880,0.200,BK013,炭质泥岩,5煤,49.520,0.270,BK012,5煤,5煤,84.070,1.010,BK011,5煤,5煤,96.880,0.760
705,5煤,5煤,43.640,2.530,11-2,6煤,6煤,160.160,0.190,11-1,6煤,6煤,176.980,0.100,BK013,5煤,5煤,50.420,0.900,BK012,泥岩,5煤,84.360,0.290,BK011,炭质泥岩,5煤,97.170,0.290
705,泥岩,5煤,43.990,0.350,11-2,泥岩,6煤,160.410,0.250,11-1,泥岩,,188.790,11.810,BK013,泥岩,5煤,50.630,0.210,BK012,5煤,5煤,85.380,1.020,BK011,5煤,5煤,99.770,2.600
705,5煤,5煤,44.190,0.200,11-2,6煤,6煤,160.660,0.250,,,,,,BK013,5煤,5煤,51.070,0.440,BK012,炭质泥岩,5煤,85.600,0.220,BK011,含炭泥岩,5煤,100.170,0.400
705,泥岩,5煤,44.290,0.100,11-2,泥岩,6煤,160.910,0.250,,,,,,BK013,泥岩,5煤,51.280,0.210,BK012,5煤,5煤,86.070,0.470,BK011,5煤,5煤,101.380,1.210
705,5煤,5煤,45.540,1.250,11-2,6煤,6煤,161.710,0.800,,,,,,BK013,5煤,5煤,55.070,3.790,BK012,含炭泥岩,5煤,86.260,0.190,BK011,砂质泥岩,5煤,107.150,5.770
705,泥岩,5煤,45.670,0.130,11-2,细粒砂岩,,179.670,17.960,,,,,,BK013,泥岩,5煤,57.460,2.390,BK012,5煤,5煤,88.560,2.300,BK011,5煤,5煤,108.650,1.500
705,5煤,5煤,47.970,2.300,,,,,,,,,,,BK013,5煤,5煤,58.630,1.170,BK012,泥岩,5煤,88.800,0.240,BK011,粉砂质泥岩,,135.720,27.070
705,泥岩,5煤,48.220,0.250,,,,,,,,,,,BK013,泥质粉砂岩,,75.320,16.690,BK012,5煤,5煤,89.710,0.910,BK011,5下煤,5下煤,136.740,1.020
705,5煤,5煤,48.530,0.310,,,,,,,,,,,BK013,5下煤,5下煤,77.310,1.990,BK012,炭质泥岩,5煤,89.960,0.250,BK011,含炭泥岩,5下煤,137.770,1.030
705,泥岩,5煤,48.630,0.100,,,,,,,,,,,BK013,泥岩,,101.270,23.960,BK012,5煤,5煤,90.860,0.900,BK011,5下煤,5下煤,138.710,0.940
705,5煤,5煤,49.200,0.570,,,,,,,,,,,BK013,6上煤,6上煤,102.100,0.830,BK012,泥岩,5煤,91.220,0.360,BK011,炭质泥岩,5下煤,139.360,0.650
705,泥岩,,49.800,0.600,,,,,,,,,,,BK013,泥岩,,104.980,2.880,BK012,5煤,5煤,91.940,0.720,BK011,5下煤,5下煤,140.070,0.710
705,粉砂岩,,50.650,0.850,,,,,,,,,,,BK013,粉砂岩,,109.580,4.600,BK012,炭质泥岩,5煤,92.140,0.200,BK011,泥质粉砂岩,,160.830,20.760
705,泥岩,,59.150,8.500,,,,,,,,,,,BK013,泥岩,,127.510,17.930,BK012,5煤,5煤,92.970,0.830,BK011,6上煤,6上煤,161.500,0.670
705,粉砂岩,,61.300,2.150,,,,,,,,,,,BK013,粉砂岩,,143.190,15.680,BK012,泥岩,5煤,93.780,0.810,BK011,含炭泥岩,,166.260,4.760
705,粗粒砂岩,,76.900,15.600,,,,,,,,,,,BK013,6煤,6煤,143.700,0.510,BK012,5煤,5煤,94.130,0.350,BK011,6煤,6煤,172.440,6.180
705,粉砂岩,,80.900,4.000,,,,,,,,,,,BK013,泥岩,6煤,144.260,0.560,BK012,泥岩,5煤,94.330,0.200,BK011,炭质泥岩,6煤,172.730,0.290
705,泥岩,,86.270,5.370,,,,,,,,,,,BK013,6煤,6煤,148.970,4.710,BK012,5煤,5煤,97.180,2.850,BK011,6煤,6煤,178.890,6.160
705,6上煤,6上煤,87.540,1.270,,,,,,,,,,,BK013,泥岩,6煤,149.280,0.310,BK012,泥岩,,97.800,0.620,BK011,含炭泥岩,6煤,179.290,0.400
705,泥岩,6上煤,87.640,0.100,,,,,,,,,,,BK013,6煤,6煤,152.540,3.260,BK012,细粒砂岩,,101.990,4.190,BK011,6煤,6煤,189.740,10.450
705,6上煤,6上煤,89.850,2.210,,,,,,,,,,,BK013,炭质泥岩,6煤,152.820,0.280,BK012,泥岩,,122.370,20.380,BK011,含炭泥岩,6煤,190.170,0.430
705,泥岩,,100.000,10.150,,,,,,,,,,,BK013,6煤,6煤,166.010,13.190,BK012,5下煤,5下煤,123.970,1.600,BK011,6煤,6煤,190.840,0.670
705,粉砂岩,,100.500,0.500,,,,,,,,,,,BK013,含炭泥岩,6煤,166.260,0.250,BK012,泥岩,,139.350,15.380,BK011,含炭泥岩,6煤,191.410,0.570
705,泥岩,,109.700,9.200,,,,,,,,,,,BK013,6煤,6煤,167.360,1.100,BK012,细粒砂岩,,150.720,11.370,BK011,6煤,6煤,194.790,3.380
705,粉砂岩,,110.000,0.300,,,,,,,,,,,BK013,泥岩,6煤,167.590,0.230,BK012,6煤,6煤,151.540,0.820,BK011,炭质泥岩,6煤,195.070,0.280
705,泥岩,,111.450,1.450,,,,,,,,,,,BK013,6煤,6煤,181.870,14.280,BK012,泥岩,6煤,152.040,0.500,BK011,6煤,6煤,198.300,3.230
705,粉砂岩,,113.250,1.800,,,,,,,,,,,BK013,炭质泥岩,6煤,182.100,0.230,BK012,6煤,6煤,163.610,11.570,BK011,炭质泥岩,6煤,198.610,0.310
705,泥岩,,114.900,1.650,,,,,,,,,,,BK013,6煤,6煤,182.350,0.250,BK012,炭质泥岩,6煤,163.790,0.180,BK011,6煤,6煤,199.450,0.840
705,6煤,6煤,118.450,3.550,,,,,,,,,,,BK013,含炭泥岩,6煤,182.740,0.390,BK012,6煤,6煤,166.080,2.290,BK011,含炭泥岩,6煤,199.760,0.310
705,炭质泥岩,6煤,118.980,0.530,,,,,,,,,,,BK013,6煤,6煤,183.040,0.300,BK012,炭质泥岩,6煤,166.360,0.280,BK011,6煤,6煤,206.520,6.760
705,6煤,6煤,150.270,31.290,,,,,,,,,,,BK013,含炭泥岩,6煤,183.220,0.180,BK012,6煤,6煤,171.130,4.770,BK011,炭质泥岩,6煤,206.770,0.250
705,细粒砂岩,,151.260,0.990,,,,,,,,,,,BK013,6煤,6煤,183.830,0.610,BK012,泥岩,6煤,171.360,0.230,BK011,6煤,6煤,214.040,7.270
705,6下煤,6下煤,151.910,0.650,,,,,,,,,,,BK013,含炭泥岩,6煤,184.050,0.220,BK012,6煤,6煤,178.040,6.680,BK011,含炭泥岩,6煤,214.720,0.680
705,细粒砂岩,,192.100,40.190,,,,,,,,,,,BK013,6煤,6煤,184.370,0.320,BK012,含炭泥岩,6煤,178.350,0.310,BK011,6煤,6煤,215.650,0.930
705,7煤,7煤,192.380,0.280,,,,,,,,,,,BK013,粉砂岩,,192.490,8.120,BK012,6煤,6煤,182.190,3.840,BK011,炭质泥岩,6煤,215.860,0.210
705,泥岩,7煤,192.700,0.320,,,,,,,,,,,,,,,,BK012,炭质泥岩,6煤,182.440,0.250,BK011,6煤,6煤,216.340,0.480
705,7煤,7煤,193.720,1.020,,,,,,,,,,,,,,,,BK012,6煤,6煤,196.180,13.740,BK011,泥质粉砂岩,,223.910,7.570
705,泥岩,7煤,193.920,0.200,,,,,,,,,,,,,,,,BK012,泥岩,6煤,196.420,0.240,,,,,
705,7煤,7煤,197.150,3.230,,,,,,,,,,,,,,,,BK012,6煤,6煤,197.250,0.830,,,,,
705,泥岩,7煤,197.270,0.120,,,,,,,,,,,,,,,,BK012,含炭泥岩,6煤,197.470,0.220,,,,,
705,7煤,7煤,198.670,1.400,,,,,,,,,,,,,,,,BK012,6煤,6煤,197.930,0.460,,,,,
705,细粒砂岩,,206.800,8.130,,,,,,,,,,,,,,,,BK012,粉砂岩,,209.150,11.220,,,,,
705,8煤,8煤,207.000,0.200,,,,,,,,,,,,,,,,,,,,,,,,,
705,泥岩,8煤,207.100,0.100,,,,,,,,,,,,,,,,,,,,,,,,,
705,8煤,8煤,207.610,0.510,,,,,,,,,,,,,,,,,,,,,,,,,
705,泥岩,,208.510,0.900,,,,,,,,,,,,,,,,,,,,,,,,,
705,9煤,9煤,208.610,0.100,,,,,,,,,,,,,,,,,,,,,,,,,
705,泥岩,9煤,208.810,0.200,,,,,,,,,,,,,,,,,,,,,,,,,
705,9煤,9煤,209.210,0.400,,,,,,,,,,,,,,,,,,,,,,,,,
705,泥岩,9煤,210.710,1.500,,,,,,,,,,,,,,,,,,,,,,,,,
705,9煤,9煤,210.960,0.250,,,,,,,,,,,,,,,,,,,,,,,,,
705,细粒砂岩,,221.530,10.570,,,,,,,,,,,,,,,,,,,,,,,,,
