538,砂质砾岩,,94.500,4.000,225,细粒砂岩,5煤,125.540,0.060,BK217,泥岩,5煤,72.310,0.470,  深灰色，泥质结构，块状构造，断口参差状，局部见细小炭化植物碎屑，风化易碎，松软。,224,5煤,5煤,36.890,0.250,BK218,煤,5煤,76.510,0.400,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,5下煤,5下煤,52.640,0.680
538,泥岩,,95.700,1.200,225,5煤,5煤,125.630,0.090,BK217,煤,5煤,72.700,0.390,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,泥岩,5煤,36.990,0.100,BK218,泥岩,5煤,76.790,0.280,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化易碎。,172,泥岩,5下煤,52.750,0.110
538,砂质砾岩,,165.000,69.300,225,泥岩,5煤,125.750,0.120,BK217,炭质泥岩,5煤,72.940,0.240,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,224,5煤,5煤,37.100,0.110,BK218,煤,5煤,77.200,0.410,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,5下煤,5下煤,52.880,0.130
538,泥岩,,177.000,12.000,225,5煤,5煤,125.860,0.110,BK217,煤,5煤,73.320,0.380,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,泥岩,5煤,37.650,0.550,BK218,泥岩,5煤,77.500,0.300,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化易碎。,172,泥岩,5下煤,52.990,0.110
538,砂质砾岩,,178.000,1.000,225,细粒砂岩,,137.820,11.960,BK217,泥岩,5煤,73.700,0.380,  深灰色，泥质结构，块状构造，断口参差状，局部见细小炭化植物碎屑，风化易碎，松软。,224,5煤,5煤,37.810,0.160,BK218,煤,5煤,78.500,1.000,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,5下煤,5下煤,53.300,0.310
538,泥岩,,182.000,4.000,225,煤,5下煤,138.170,0.350,BK217,煤,5煤,74.010,0.310,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,细粒砂岩,5煤,38.270,0.460,BK218,泥岩,5煤,78.720,0.220,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化易碎。,172,细粒砂岩,,65.600,12.300
538,砾石,,184.000,2.000,225,细粒砂岩,,165.140,26.970,BK217,炭质泥岩,5煤,74.320,0.310,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,224,5煤,5煤,39.390,1.120,BK218,煤,5煤,79.360,0.640,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,6煤,6煤,81.250,15.650
538,泥岩,,211.000,27.000,225,6煤,6煤,186.350,21.210,BK217,煤,5煤,74.630,0.310,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,炭质泥岩,5煤,39.660,0.270,BK218,泥岩,5煤,79.540,0.180,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化易碎。,172,炭质泥岩,6煤,81.390,0.140
538,砂质砾岩,,214.600,3.600,225,细粒砂岩,6煤,187.530,1.180,BK217,炭质泥岩,5煤,74.840,0.210,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,224,5煤,5煤,39.910,0.250,BK218,煤,5煤,79.970,0.430,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,6煤,6煤,82.570,1.180
538,砾石,,216.600,2.000,225,6煤,6煤,188.430,0.900,BK217,煤,5煤,75.260,0.420,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,含炭泥岩,5煤,40.050,0.140,BK218,炭质泥岩,5煤,80.350,0.380,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,172,含炭泥岩,6煤,82.830,0.260
538,砂质砾岩,,221.000,4.400,225,含炭泥岩,6煤,188.630,0.200,BK217,泥岩,5煤,76.130,0.870,  深灰色，泥质结构，块状构造，断口参差状，局部见细小炭化植物碎屑，风化易碎，松软。,224,5煤,5煤,40.220,0.170,BK218,煤,5煤,80.860,0.510,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,6煤,6煤,84.450,1.620
538,泥岩,,230.000,9.000,225,6煤,6煤,189.030,0.400,BK217,炭质泥岩,5煤,76.460,0.330,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,224,细粒砂岩,5煤,40.390,0.170,BK218,泥岩,,84.500,3.640,  灰黑色，泥质结构，块状构造，含炭化植物碎屑及茎叶化石，夹细砂岩薄层及炭质泥岩薄层，松软。,172,细粒砂岩,,85.590,1.140
538,砂质砾岩,,232.000,2.000,225,细粒砂岩,,214.520,25.490,BK217,泥岩,5煤,76.750,0.290,  深灰色，泥质结构，块状构造，断口参差状，局部见细小炭化植物碎屑，风化易碎，松软。,224,5煤,5煤,41.000,0.610,BK218,粉砂岩,,87.000,2.500,  灰绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，含少量炭屑，松软。,172,6下煤,6下煤,85.940,0.350
538,粉砂岩,,232.600,0.600,225,7煤,7煤,215.300,0.780,BK217,煤,5煤,81.140,4.390,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,中粒砂岩,5煤,41.110,0.110,BK218,细粒砂岩,,89.000,2.000,  灰白色，细砂状结构，厚层状构造，成分以石英为主，长石次之，云母及暗色矿物少量，分选差，钙质胶结，致密，坚硬。,172,中粒砂岩,,458.520,372.580
538,砾石,,234.000,1.400,225,中粒砂岩,7煤,215.450,0.150,BK217,炭质泥岩,5煤,81.470,0.330,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,224,5煤,5煤,41.650,0.540,BK218,泥岩,,89.700,0.700,  黑灰色，泥质结构，块状构造，断口平坦状，含炭屑，松软，易碎。,172,12煤,12煤,459.280,0.760
538,泥岩,,262.700,28.700,225,7煤,7煤,216.030,0.580,BK217,煤,5煤,82.010,0.540,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,细粒砂岩,,78.580,36.930,BK218,细粒砂岩,,98.200,8.500,  灰白色，细砂状结构，厚层状构造，成分以石英为主，长石次之，云母及暗色矿物少量，分选中等，泥质胶结，均匀层理，半坚硬。,172,细粒砂岩,,684.890,225.610
