BK054,泥岩,,71.620,12.660,BK055,泥岩,5煤,92.040,1.370,BK042,泥岩,5煤,73.230,0.390,BK043,5煤,5煤,73.270,0.500,BK044,5煤,5煤,69.010,0.970,198,5煤,5煤,69.390,1.140,BK045,5煤,5煤,73.610,0.630,440,泥岩,5煤,75.840,0.420,BK046,5煤,5煤,71.650,0.440,BK047,泥岩,5煤,75.130,0.230,736,泥岩,5煤,94.350,0.250,439,泥岩,5煤,66.420,0.170,739,泥岩,,64.040,25.340,258,粗粒砂岩,,47.800,0.600,580,5煤,5煤,37.440,0.100,438,5煤,5煤,29.160,0.240
BK054,粉砂岩,,72.320,0.700,BK055,5煤,5煤,93.690,1.650,BK042,5煤,5煤,73.670,0.440,BK043,炭质泥岩,5煤,73.550,0.280,BK044,泥岩,5煤,69.170,0.160,198,泥岩,5煤,69.830,0.440,BK045,泥岩,5煤,73.860,0.250,440,5煤,5煤,76.000,0.160,BK046,炭质泥岩,5煤,71.860,0.210,BK047,5煤,5煤,75.720,0.590,736,5煤,5煤,94.490,0.140,439,5煤,5煤,66.740,0.320,739,5煤,5煤,64.270,0.230,258,泥岩,,51.720,3.920,580,泥岩,5煤,37.590,0.150,438,炭质泥岩,5煤,29.920,0.760
BK054,泥岩,,85.420,13.100,BK055,泥岩,5煤,94.380,0.690,BK042,泥岩,5煤,74.630,0.960,BK043,5煤,5煤,74.190,0.640,BK044,5煤,5煤,69.620,0.450,198,5煤,5煤,70.320,0.490,BK045,5煤,5煤,74.310,0.450,440,泥岩,5煤,76.180,0.180,BK046,5煤,5煤,72.320,0.460,BK047,炭质泥岩,5煤,76.200,0.480,736,泥岩,5煤,94.710,0.220,439,泥岩,5煤,67.110,0.370,739,泥岩,5煤,64.690,0.420,258,粗粒砂岩,,53.000,1.280,580,5煤,5煤,37.790,0.200,438,5煤,5煤,30.340,0.420
BK054,5煤,5煤,86.050,0.630,BK055,5煤,5煤,94.790,0.410,BK042,5煤,5煤,75.340,0.710,BK043,炭质泥岩,5煤,74.440,0.250,BK044,泥岩,5煤,70.700,1.080,198,泥岩,5煤,70.970,0.650,BK045,泥岩,5煤,74.490,0.180,440,5煤,5煤,76.400,0.220,BK046,泥岩,5煤,72.470,0.150,BK047,5煤,5煤,76.810,0.610,736,5煤,5煤,95.210,0.500,439,5煤,5煤,67.780,0.670,739,5煤,5煤,64.830,0.140,258,泥岩,,59.630,6.630,580,泥岩,5煤,38.050,0.260,438,泥岩,5煤,30.640,0.300
BK054,泥岩,5煤,86.500,0.450,BK055,泥岩,5煤,95.310,0.520,BK042,泥质粉砂岩,5煤,76.430,1.090,BK043,5煤,5煤,74.840,0.400,BK044,5煤,5煤,71.340,0.640,198,5煤,5煤,71.070,0.100,BK045,5煤,5煤,75.340,0.850,440,泥岩,5煤,76.760,0.360,BK046,5煤,5煤,73.080,0.610,BK047,泥岩,5煤,77.020,0.210,736,泥岩,5煤,95.360,0.150,439,泥岩,5煤,67.990,0.210,739,泥岩,5煤,65.170,0.340,258,粉砂岩,,60.850,1.220,580,5煤,5煤,38.950,0.900,438,5煤,5煤,31.110,0.470
BK054,5煤,5煤,87.500,1.000,BK055,5煤,5煤,98.320,3.010,BK042,5煤,5煤,76.800,0.370,BK043,泥岩,5煤,75.460,0.620,BK044,炭质泥岩,5煤,71.490,0.150,198,泥岩,5煤,71.220,0.150,BK045,泥岩,5煤,75.560,0.220,440,5煤,5煤,77.100,0.340,BK046,粉砂岩,5煤,73.360,0.280,BK047,5煤,5煤,77.480,0.460,736,5煤,5煤,95.500,0.140,439,5煤,5煤,68.450,0.460,739,5煤,5煤,65.420,0.250,258,泥岩,,64.370,3.520,580,泥岩,5煤,39.120,0.170,438,泥岩,5煤,32.430,1.320
BK054,泥岩,5煤,88.780,1.280,BK055,泥岩,5煤,98.990,0.670,BK042,炭质泥岩,5煤,77.070,0.270,BK043,5煤,5煤,76.620,1.160,BK044,5煤,5煤,72.970,1.480,198,5煤,5煤,71.370,0.150,BK045,5煤,5煤,76.370,0.810,440,泥岩,5煤,78.040,0.940,BK046,5煤,5煤,73.910,0.550,BK047,泥岩,5煤,78.370,0.890,736,泥岩,5煤,96.260,0.760,439,泥岩,5煤,69.050,0.600,739,泥岩,5煤,65.980,0.560,258,5煤,5煤,64.610,0.240,580,5煤,5煤,39.400,0.280,438,5煤,5煤,34.310,1.880
BK054,粉砂质泥岩,5煤,89.600,0.820,BK055,5煤,5煤,102.040,3.050,BK042,5煤,5煤,77.550,0.480,BK043,炭质泥岩,5煤,76.860,0.240,BK044,粉砂岩,5煤,73.510,0.540,198,泥岩,5煤,71.570,0.200,BK045,泥岩,5煤,76.790,0.420,440,5煤,5煤,78.310,0.270,BK046,炭质泥岩,5煤,74.570,0.660,BK047,5煤,5煤,80.450,2.080,736,5煤,5煤,96.910,0.650,439,5煤,5煤,69.670,0.620,739,5煤,5煤,66.090,0.110,258,泥岩,5煤,64.800,0.190,580,泥岩,5煤,40.090,0.690,438,泥岩,5煤,34.460,0.150
BK054,5煤,5煤,91.000,1.400,BK055,泥岩,5煤,102.590,0.550,BK042,炭质泥岩,5煤,77.970,0.420,BK043,5煤,5煤,77.220,0.360,BK044,5煤,5煤,76.130,2.620,198,5煤,5煤,71.920,0.350,BK045,5煤,5煤,77.320,0.530,440,泥岩,5煤,78.520,0.210,BK046,5煤,5煤,75.690,1.120,BK047,炭质泥岩,5煤,80.970,0.520,736,泥岩,5煤,97.160,0.250,439,泥岩,5煤,69.790,0.120,739,泥岩,5煤,66.380,0.290,258,5煤,5煤,65.660,0.860,580,5煤,5煤,41.250,1.160,438,5煤,5煤,34.760,0.300
BK054,泥岩,5煤,91.600,0.600,BK055,5煤,5煤,103.420,0.830,BK042,5煤,5煤,78.640,0.670,BK043,泥岩,5煤,78.010,0.790,BK044,粉砂岩,5煤,76.440,0.310,198,泥岩,5煤,72.040,0.120,BK045,泥岩,5煤,78.390,1.070,440,5煤,5煤,79.800,1.280,BK046,粉砂岩,5煤,76.370,0.680,BK047,5煤,5煤,83.490,2.520,736,5煤,5煤,97.650,0.490,439,5煤,5煤,70.420,0.630,739,5煤,5煤,66.730,0.350,258,泥岩,5煤,65.860,0.200,580,泥岩,5煤,42.390,1.140,438,泥岩,5煤,34.840,0.080
