12-4,泥岩,5煤,86.270,0.200,12-6,细粒砂岩,,137.670,2.100,BK014,炭质泥岩,5煤,86.150,0.310,12-1,5煤,5煤,86.720,2.530,12-2,泥岩,5煤,59.350,0.300,12-7,6上煤,6上煤,111.530,0.300,740,6上煤,6上煤,113.570,0.340,12-3,细粒砂岩,,94.010,23.390,700,泥岩,5煤,49.050,0.150
12-4,5煤,5煤,87.190,0.920,12-6,粉砂岩,,138.420,0.750,BK014,5煤,5煤,89.350,3.200,12-1,泥岩,5煤,86.870,0.150,12-2,5煤,5煤,62.550,3.200,12-7,粗粒砂岩,,115.630,4.100,740,粉砂岩,,131.380,17.810,12-3,5下煤,5下煤,95.010,1.000,700,5煤,5煤,49.680,0.630
12-4,泥岩,5煤,88.490,1.300,12-6,泥岩,,138.920,0.500,BK014,含炭泥岩,5煤,89.710,0.360,12-1,5煤,5煤,90.870,4.000,12-2,泥岩,5煤,62.750,0.200,12-7,砂质泥岩,,131.130,15.500,740,泥岩,,134.760,3.380,12-3,泥岩,5下煤,95.260,0.250,700,细粒砂岩,5煤,50.430,0.750
12-4,5煤,5煤,88.990,0.500,12-6,砂质泥岩,,139.520,0.600,BK014,5煤,5煤,93.430,3.720,12-1,泥岩,5煤,90.970,0.100,12-2,5煤,5煤,68.110,5.360,12-7,粉砂岩,,140.330,9.200,740,炭质泥岩,,135.060,0.300,12-3,5下煤,5下煤,98.140,2.880,700,5煤,5煤,50.530,0.100
12-4,泥岩,5煤,89.790,0.800,12-6,细粒砂岩,,142.510,2.990,BK014,炭质泥岩,5煤,93.870,0.440,12-1,5煤,5煤,92.720,1.750,12-2,泥岩,,70.610,2.500,12-7,泥岩,,147.020,6.690,740,泥岩,,135.480,0.420,12-3,泥岩,,120.520,22.380,700,泥岩,5煤,50.800,0.270
12-4,5煤,5煤,103.290,13.500,12-6,泥岩,,144.010,1.500,BK014,5煤,5煤,97.760,3.890,12-1,泥岩,5煤,92.870,0.150,12-2,中粒砂岩,,72.410,1.800,12-7,6煤,6煤,147.420,0.400,740,煤,,136.420,0.940,12-3,细粒砂岩,,121.520,1.000,700,5煤,5煤,53.180,2.380
12-4,泥岩,5煤,103.390,0.100,12-6,砂质泥岩,,147.990,3.980,BK014,粉砂岩,5煤,98.260,0.500,12-1,5煤,5煤,95.370,2.500,12-2,粗粒砂岩,,76.410,4.000,12-7,泥岩,6煤,147.820,0.400,740,炭质泥岩,,136.870,0.450,12-3,泥岩,,126.520,5.000,700,泥岩,5煤,53.390,0.210
12-4,5煤,5煤,112.260,8.870,12-6,细粒砂岩,,154.810,6.820,BK014,5煤,5煤,99.110,0.850,12-1,泥岩,5煤,95.470,0.100,12-2,泥岩,,77.910,1.500,12-7,6煤,6煤,149.270,1.450,740,泥岩,,137.700,0.830,12-3,6煤,6煤,127.020,0.500,700,5煤,5煤,53.560,0.170
12-4,粉砂岩,,120.260,8.000,12-6,泥岩,,158.110,3.300,BK014,粉砂岩,5煤,99.350,0.240,12-1,5煤,5煤,96.870,1.400,12-2,细粒砂岩,,78.520,0.610,12-7,泥岩,6煤,150.470,1.200,740,6煤,6煤,138.250,0.550,12-3,泥岩,6煤,127.520,0.500,700,泥岩,5煤,53.690,0.130
12-4,煤,,120.760,0.500,12-6,细粒砂岩,,158.810,0.700,BK014,5煤,5煤,101.940,2.590,12-1,泥岩,5煤,96.970,0.100,12-2,泥岩,,79.920,1.400,12-7,6煤,6煤,186.780,36.310,740,炭质泥岩,6煤,138.480,0.230,12-3,6煤,6煤,128.190,0.670,700,5煤,5煤,53.920,0.230
12-4,泥岩,,147.750,26.990,12-6,6煤,6煤,160.170,1.360,BK014,泥岩,5煤,102.210,0.270,12-1,5煤,5煤,97.570,0.600,12-2,细粒砂岩,,81.920,2.000,12-7,泥岩,6煤,187.880,1.100,740,6煤,6煤,138.840,0.360,12-3,泥岩,6煤,128.590,0.400,700,泥岩,5煤,54.050,0.130
12-4,6上煤,6上煤,151.690,3.940,12-6,泥岩,6煤,160.770,0.600,BK014,5煤,5煤,103.750,1.540,12-1,细粒砂岩,5煤,100.630,3.060,12-2,泥岩,,84.320,2.400,12-7,煤,6煤,188.180,0.300,740,炭质泥岩,6煤,138.990,0.150,12-3,6煤,6煤,165.890,37.300,700,5煤,5煤,54.950,0.900
