XC01,5煤,5煤,31.910,0.900,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,5煤,41.910,0.450,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,45.920,0.570,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,煤,5下煤,101.720,1.660,"黑色，质轻，块状，暗煤为主，夹亮煤条带，弱沥青光泽，条痕黑褐色 ，半暗型，平行层理，断口平坦状，见丝碳,半坚硬。未发现明显夹矸。"
XC01,泥岩,5煤,32.050,0.140,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,泥岩,5煤,42.280,0.370,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，含少量炭化植物碎屑及茎叶化石，松软。,BK220,泥岩,5煤,46.190,0.270,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,BK219,泥岩,,104.570,2.850,深灰色，厚层状，块状，细腻，致密，含炭屑，平行层理，平坦状断口 ，半坚硬。
XC01,5煤,5煤,32.370,0.320,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,5煤,43.560,1.280,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,46.560,0.370,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,细砂岩,,109.000,4.430,灰白色，细粒砂状结构，层状，成分石英、长石为主，泥质胶结，半坚 硬。
XC01,泥岩,5煤,32.480,0.110,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,炭质泥岩,5煤,43.800,0.240,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK220,泥岩,5煤,46.880,0.320,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,BK219,中砂,,110.500,1.500,灰白色，中粒砂状结构，层状，成分石英、长石为主，分选中等，泥质 胶结，半坚硬。
XC01,5煤,5煤,32.700,0.220,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,5煤,45.010,1.210,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,47.760,0.880,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,细砂岩,,113.700,3.200,灰白色，细粒砂状结构，层状，成分石英、长石为主，泥质胶结，半坚 硬。
XC01,泥岩,5煤,32.780,0.080,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,炭质泥岩,5煤,45.260,0.250,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK220,泥岩,5煤,48.040,0.280,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,BK219,泥岩,,115.760,2.060,深灰色，厚层状，块状，细腻，致密，含炭屑，平行层理，平坦状断口 ，半坚硬。
XC01,5煤,5煤,33.250,0.470,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,5煤,45.540,0.280,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,48.250,0.210,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,煤,6煤,134.110,18.350,黑色，质轻，块状，暗煤为主，夹亮煤条带，不易污手，节理不发育。 含少许丝炭，沥青光泽，条痕黑褐色，半暗淡型，平行层理，断口呈平坦 状、贝壳状、半坚硬。未发现明显夹矸。
XC01,泥岩,5煤,33.360,0.110,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,泥岩,5煤,45.800,0.260,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，含少量炭化植物碎屑及茎叶化石，松软。,BK220,炭质泥岩,5煤,48.450,0.200,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK219,泥岩,,135.420,1.310,深灰色，厚层状，块状，细腻，致密，含炭屑，平行层理，平坦状断口 ，半坚硬。
XC01,5煤,5煤,34.050,0.690,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,5煤,46.250,0.450,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,48.990,0.540,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,细粒砂岩,,137.400,1.980,深灰色，厚层状，块状，细腻，致密，含炭屑，平行层理，平坦状断口 ，半坚硬。
XC01,泥岩,5煤,34.160,0.110,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,泥岩,,61.350,15.100,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎，夹细砂岩薄层，松软。,BK220,泥岩,5煤,49.450,0.460,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,BK219,泥岩,,141.050,3.650,深灰色，厚层状，块状，细腻，致密，含炭屑，平行层理，平坦状断口 ，半坚硬。
