15-6,泥岩,,33.720,3.000,15-5,泥岩,5煤,34.730,1.350,15-4,泥岩,5煤,30.900,0.300,15-3,5煤,5煤,36.740,0.500,15-2,5煤,5煤,54.570,0.200,15-1,泥岩,5煤,68.450,0.300,15-7,5煤,5煤,59.690,0.900,15-8,5煤,5煤,54.470,0.950,BK027,含炭泥岩,5煤,52.270,0.230,BK026,含炭泥岩,5煤,54.940,0.190,BK025,炭质泥岩,5煤,61.960,0.240,BK024,含炭泥岩,5煤,67.390,0.230,BK023,含砾泥岩,,59.420,7.130,BK022,煤,,78.660,0.300
15-6,细砾岩,,34.520,0.800,15-5,5煤,5煤,34.930,0.200,15-4,5煤,5煤,31.600,0.700,15-3,泥岩,5煤,37.180,0.440,15-2,泥岩,5煤,54.770,0.200,15-1,5煤,5煤,80.990,12.540,15-7,泥岩,5煤,59.890,0.200,15-8,炭质泥岩,5煤,55.530,1.060,BK027,5煤,5煤,53.170,0.900,BK026,5煤,5煤,55.540,0.600,BK025,5煤,5煤,62.870,0.910,BK024,5煤,5煤,68.650,1.260,BK023,粗砾岩,上砾岩段,61.420,2.000,BK022,泥岩,,79.200,0.540
15-6,泥岩,,38.290,3.770,15-5,泥岩,5煤,35.230,0.300,15-4,泥岩,5煤,32.600,1.000,15-3,5煤,5煤,37.680,0.500,15-2,5煤,5煤,55.270,0.500,15-1,泥岩,5煤,81.190,0.200,15-7,5煤,5煤,60.090,0.200,15-8,5煤,5煤,57.630,2.100,BK027,泥岩,5煤,53.520,0.350,BK026,炭质泥岩,5煤,55.780,0.240,BK025,泥岩,5煤,63.730,0.860,BK024,泥岩,5煤,68.910,0.260,BK023,砂质泥岩,,73.980,12.560,BK022,煤,,79.560,0.360
15-6,细砾岩,,38.790,0.500,15-5,5煤,5煤,36.180,0.950,15-4,5煤,5煤,35.150,2.550,15-3,泥岩,5煤,37.880,0.200,15-2,泥岩,5煤,55.470,0.200,15-1,5煤,5煤,81.440,0.250,15-7,泥岩,5煤,60.290,0.200,15-8,泥岩,5煤,58.630,1.000,BK027,5煤,5煤,54.230,0.710,BK026,5煤,5煤,57.050,1.270,BK025,5煤,5煤,64.910,1.180,BK024,5煤,5煤,69.380,0.470,BK023,泥岩,,78.020,4.040,BK022,泥岩,,84.030,4.470
15-6,泥岩,,43.680,4.890,15-5,泥岩,5煤,38.200,2.020,15-4,泥岩,5煤,35.400,0.250,15-3,5煤,5煤,38.880,1.000,15-2,5煤,5煤,66.070,10.600,15-1,砂质泥岩,,89.220,7.780,15-7,5煤,5煤,60.590,0.300,15-8,5煤,5煤,59.230,0.600,BK027,含炭泥岩,5煤,54.440,0.210,BK026,泥岩,5煤,57.270,0.220,BK025,泥岩,5煤,65.550,0.640,BK024,泥岩,5煤,70.400,1.020,BK023,5煤,5煤,78.670,0.650,BK022,煤,,84.280,0.250
15-6,中粒砂岩,,44.680,1.000,15-5,5煤,5煤,39.900,1.700,15-4,5煤,5煤,38.180,2.780,15-3,煤,5煤,39.580,0.700,15-2,细粒砂岩,,70.770,4.700,15-1,5下煤,5下煤,89.420,0.200,15-7,泥岩,5煤,61.040,0.450,15-8,泥岩,5煤,59.630,0.400,BK027,5煤,5煤,54.980,0.540,BK026,5煤,5煤,58.210,0.940,BK025,5煤,5煤,66.100,0.550,BK024,5煤,5煤,71.310,0.910,BK023,炭质泥岩,5煤,78.910,0.240,BK022,泥岩,,84.730,0.450
15-6,细粒砂岩,,46.430,1.750,15-5,泥岩,5煤,40.600,0.700,15-4,泥岩,5煤,38.780,0.600,15-3,泥岩,5煤,40.080,0.500,15-2,泥岩,,84.610,13.840,15-1,泥岩,5下煤,90.320,0.900,15-7,5煤,5煤,61.690,0.650,15-8,5煤,5煤,60.830,1.200,BK027,泥岩,5煤,56.230,1.250,BK026,泥岩,5煤,58.560,0.350,BK025,泥岩,5煤,66.540,0.440,BK024,泥岩,5煤,71.490,0.180,BK023,5煤,5煤,80.390,1.480,BK022,煤,,85.310,0.580
15-6,泥岩,,50.080,3.650,15-5,5煤,5煤,43.300,2.700,15-4,5煤,5煤,39.280,0.500,15-3,5煤,5煤,41.480,1.400,15-2,5下煤,5下煤,88.610,4.000,15-1,5下煤,5下煤,93.540,3.220,15-7,泥岩,5煤,61.890,0.200,15-8,泥岩,5煤,61.530,0.700,BK027,5煤,5煤,58.870,2.640,BK026,5煤,5煤,60.170,1.610,BK025,5煤,5煤,67.250,0.710,BK024,5煤,5煤,72.160,0.670,BK023,含炭泥岩,5煤,80.670,0.280,BK022,泥岩,,87.050,1.740
15-6,含砾粗粒砂岩,,52.080,2.000,15-5,泥岩,5煤,43.900,0.600,15-4,泥岩,5煤,39.480,0.200,15-3,泥岩,5煤,42.190,0.710,15-2,泥岩,,103.240,14.630,15-1,泥岩,,108.200,14.660,15-7,5煤,5煤,62.390,0.500,15-8,5煤,5煤,66.500,4.970,BK027,含炭泥岩,5煤,59.400,0.530,BK026,炭质泥岩,5煤,60.750,0.580,BK025,炭质泥岩,5煤,67.490,0.240,BK024,泥岩,5煤,72.740,0.580,BK023,5煤,5煤,81.550,0.880,BK022,煤,,87.400,0.350
15-6,泥岩,,60.450,8.370,15-5,5煤,5煤,44.340,0.440,15-4,5煤,5煤,42.180,2.700,15-3,5煤,5煤,46.960,4.770,15-2,6上煤,6上煤,105.040,1.800,15-1,6上煤,6上煤,109.250,1.050,15-7,炭质泥岩,5煤,62.940,0.550,15-8,泥岩,5煤,66.800,0.300,BK027,5煤,5煤,62.120,2.720,BK026,5煤,5煤,61.270,0.520,BK025,5煤,5煤,69.470,1.980,BK024,5煤,5煤,73.320,0.580,BK023,泥岩,5煤,81.910,0.360,BK022,泥岩,,87.700,0.300
