2-1,含砾泥岩,,133.110,9.770,2-2,5煤,5煤,185.720,4.240,291,粉砂岩,,60.260,3.460,196,5煤,5煤,90.190,0.370,290,5煤,5煤,61.270,1.100,181,中粒砂岩,,231.100,9.820
2-1,粗粒砂岩,,135.110,2.000,2-2,泥岩,5煤,186.220,0.500,291,泥岩,,62.600,2.340,196,泥岩,5煤,90.330,0.140,290,泥岩,5煤,61.540,0.270,181,8煤,8煤,231.350,0.250
2-1,含砾泥岩,,137.110,2.000,2-2,5煤,5煤,187.720,1.500,291,粉砂岩,,64.600,2.000,196,5煤,5煤,90.830,0.500,290,5煤,5煤,61.630,0.090,181,泥岩,8煤,231.400,0.050
2-1,细粒砂岩,,141.110,4.000,2-2,泥岩,5煤,188.020,0.300,291,泥岩,,65.960,1.360,196,泥岩,5煤,90.940,0.110,290,泥岩,5煤,61.740,0.110,181,8煤,8煤,232.000,0.600
2-1,含砾泥岩,,147.110,6.000,2-2,含砾泥岩,,198.940,10.920,291,粉砂岩,,66.540,0.580,196,5煤,5煤,91.100,0.160,290,5煤,5煤,63.420,1.680,181,泥岩,8煤,232.150,0.150
2-1,泥岩,,149.500,2.390,2-2,泥岩,,215.720,16.780,291,泥岩,,67.600,1.060,196,泥岩,5煤,93.910,2.810,290,泥岩,5煤,63.620,0.200,181,8煤,8煤,232.950,0.800
2-1,中粒砂岩,,151.500,2.000,2-2,含炭泥岩,,231.110,15.390,291,粉砂岩,,68.270,0.670,196,5煤,5煤,94.370,0.460,290,5煤,5煤,63.830,0.210,181,泥岩,8煤,233.400,0.450
2-1,含砾泥岩,,153.540,2.040,2-2,6-1煤,6-1煤,231.510,0.400,291,泥岩,,69.100,0.830,196,泥岩,5煤,94.470,0.100,290,泥岩,5煤,64.150,0.320,181,8煤,8煤,233.650,0.250
2-1,泥岩,,159.540,6.000,2-2,泥岩,6-1煤,232.270,0.760,291,粉砂岩,,69.840,0.740,196,5煤,5煤,95.280,0.810,290,5煤,5煤,64.470,0.320,181,泥岩,8煤,233.950,0.300
2-1,粗粒砂岩,,161.540,2.000,2-2,6-1煤,6-1煤,232.770,0.500,291,砂质泥岩,,72.400,2.560,196,泥岩,5煤,95.550,0.270,290,泥岩,5煤,64.720,0.250,181,8煤,8煤,234.900,0.950
2-1,泥岩,,163.540,2.000,2-2,泥岩,6-1煤,241.450,8.680,291,中粒砂岩,,73.250,0.850,196,5煤,5煤,96.550,1.000,290,5煤,5煤,65.890,1.170,181,中粒砂岩,,236.920,2.020
2-1,中粒砂岩,,165.990,2.450,2-2,6-1煤,6-1煤,241.860,0.410,291,泥岩,,74.330,1.080,196,泥岩,5煤,96.650,0.100,290,泥岩,5煤,66.040,0.150,181,9煤,9煤,237.420,0.500
2-1,粉砂岩,,171.190,5.200,2-2,泥岩,6-1煤,247.080,5.220,291,粉砂岩,,74.900,0.570,196,5煤,5煤,97.390,0.740,290,5煤,5煤,66.440,0.400,181,砂质泥岩,,367.700,130.280
2-1,泥岩,,177.990,6.800,2-2,6-1煤,6-1煤,247.280,0.200,291,泥岩,,75.500,0.600,196,泥岩,5煤,97.500,0.110,290,泥岩,5煤,66.690,0.250,181,10煤,10煤,367.820,0.120
2-1,中砾岩,,178.690,0.700,2-2,泥岩,6-1煤,247.980,0.700,291,中粒砂岩,,76.200,0.700,196,5煤,5煤,98.020,0.520,290,5煤,5煤,67.710,1.020,181,泥岩,10煤,367.990,0.170
2-1,泥岩,,181.940,3.250,2-2,6-1煤,6-1煤,248.680,0.700,291,泥岩,,76.950,0.750,196,泥岩,5煤,98.240,0.220,290,泥岩,5煤,67.820,0.110,181,10煤,10煤,368.500,0.510
2-1,砂质泥岩,,186.740,4.800,2-2,泥岩,6-1煤,248.980,0.300,291,砂质泥岩,,78.300,1.350,196,5煤,5煤,98.830,0.590,290,5煤,5煤,68.000,0.180,181,泥岩,10煤,369.000,0.500
2-1,粗砾岩,,187.940,1.200,2-2,6-1煤,6-1煤,249.380,0.400,291,泥岩,,86.460,8.160,196,泥岩,5煤,99.020,0.190,290,泥岩,5煤,68.120,0.120,181,10煤,10煤,369.100,0.100
2-1,泥岩,,190.700,2.760,2-2,细粒砂岩,,252.770,3.390,291,泥岩,,86.770,0.310,196,5煤,5煤,99.400,0.380,290,5煤,5煤,68.790,0.670,181,泥岩,10煤,369.380,0.280
2-1,粗砾岩,,191.900,1.200,2-2,6煤,6煤,253.520,0.750,291,煤,,87.070,0.300,196,泥岩,5煤,99.990,0.590,290,泥岩,5煤,69.010,0.220,181,10煤,10煤,369.500,0.120
2-1,泥岩,,193.200,1.300,2-2,泥岩,6煤,256.490,2.970,291,泥岩,,91.600,4.530,196,5煤,5煤,100.390,0.400,290,5煤,5煤,69.290,0.280,181,泥岩,10煤,369.620,0.120
2-1,粗砾岩,,193.900,0.700,2-2,6煤,6煤,257.490,1.000,291,泥岩,,92.200,0.600,196,泥岩,5煤,100.560,0.170,290,泥岩,5煤,69.450,0.160,181,10煤,10煤,369.800,0.180
2-1,中砾岩,,197.360,3.460,2-2,泥岩,6煤,263.020,5.530,291,砂质泥岩,,93.900,1.700,196,5煤,5煤,100.900,0.340,290,5煤,5煤,69.630,0.180,181,细粒砂岩,,383.040,13.240
2-1,泥岩,,199.360,2.000,2-2,6煤,6煤,263.480,0.460,291,中粒砂岩,,95.100,1.200,196,泥岩,5煤,101.300,0.400,290,泥岩,5煤,69.810,0.180,181,11煤,11煤,383.340,0.300
2-1,粉砂岩,,207.410,8.050,2-2,泥岩,6煤,266.280,2.800,291,泥岩,,113.550,18.450,196,5煤,5煤,102.560,1.260,290,5煤,5煤,71.130,1.320,181,泥岩,11煤,383.720,0.380
2-1,砂质泥岩,,210.010,2.600,2-2,6煤,6煤,266.580,0.300,291,5煤,5煤,113.710,0.160,196,泥岩,5煤,102.790,0.230,290,泥岩,5煤,71.400,0.270,181,11煤,11煤,384.480,0.760
2-1,中砾岩,,214.010,4.000,2-2,泥岩,6煤,266.980,0.400,291,泥岩,5煤,114.010,0.300,196,5煤,5煤,103.860,1.070,290,5煤,5煤,72.320,0.920,181,泥岩,11煤,387.300,2.820
2-1,砂质泥岩,,216.010,2.000,2-2,6煤,6煤,267.480,0.500,291,5煤,5煤,114.280,0.270,196,泥岩,5煤,104.050,0.190,290,泥岩,5煤,72.600,0.280,181,11煤,11煤,387.740,0.440
2-1,泥岩,,216.410,0.400,2-2,泥岩,6煤,268.280,0.800,291,泥岩,5煤,114.440,0.160,196,5煤,5煤,104.350,0.300,290,5煤,5煤,73.780,1.180,181,中粒砂岩,,614.110,226.370
2-1,6-1煤,6-1煤,216.610,0.200,2-2,6煤,6煤,268.930,0.650,291,5煤,5煤,114.810,0.370,196,泥岩,5煤,104.610,0.260,290,泥岩,5煤,74.100,0.320,181,12煤,12煤,614.310,0.200
2-1,泥岩,6-1煤,221.720,5.110,2-2,泥岩,6煤,269.780,0.850,291,泥岩,5煤,115.400,0.590,196,5煤,5煤,105.130,0.520,290,5煤,5煤,78.140,4.040,181,泥岩,12煤,614.630,0.320
