BK148,泥岩,5煤,106.46,106.780,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹煤薄层。
BK148,煤,5煤,106.78,107.650,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸10层，炭质泥岩 夹矸1层。
BK148,泥岩,5煤,107.65,107.950,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹煤薄层。
BK148,煤,5煤,107.95,109.090,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸10层，炭质泥岩 夹矸1层。
BK148,炭质泥岩,5煤,109.09,109.280,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。
BK148,煤,5煤,109.28,109.850,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸10层，炭质泥岩 夹矸1层。
BK148,泥岩,,109.85,125.920,黑灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，风化易碎，夹粉砂岩薄层。
BK148,细粒砂岩,,125.92,135.240,灰色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母 少量，分选差，泥质胶结，均匀层理，胶结差。
BK148,泥岩,,135.24,156.940,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，风 化易碎，夹粉砂岩薄层。
BK148,煤,6上煤,156.94,158.290,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸10层，炭质泥岩 夹矸1层。
BK148,泥岩,6上煤,158.29,158.900,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6上煤,158.9,159.500,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6上煤,159.5,160.130,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6上煤,160.13,160.710,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6上煤,160.71,160.990,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6上煤,160.99,161.610,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,,161.61,165.670,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6煤,165.67,166.410,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6煤,166.41,167.830,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
