BK145,煤,5煤,87.46,87.990,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸13层，炭质泥岩夹矸4层。
BK145,炭质泥岩,5煤,87.99,88.210,灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。
BK145,煤,5煤,88.21,88.720,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸13层，炭质泥岩夹矸4层。
BK145,泥岩,5煤,88.72,89.000,  灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化后呈碎块状。
BK145,煤,5煤,89,89.490,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸13层，炭质泥岩夹矸4层。
BK145,泥岩,5煤,89.49,89.820,  灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化后呈碎块状。
BK145,煤,5煤,89.82,90.570,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸13层，炭质泥岩夹矸4层。
BK145,泥岩,5煤,90.57,90.960,  灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化后呈碎块状。
BK145,煤,5煤,90.96,91.490,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸13层，炭质泥岩夹矸4层。
BK145,泥岩,5煤,91.49,91.860,  灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化后呈碎块状。
BK145,煤,5煤,91.86,92.410,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸13层，炭质泥岩夹矸4层。
BK145,泥岩,5煤,92.41,92.840,  灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化后呈碎块状。
BK145,煤,5煤,92.84,93.410,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸13层，炭质泥岩夹矸4层。
BK145,泥岩,,93.41,102.840,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎化化石，松软，风化易碎。
BK145,煤,5下煤,102.84,104.790,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎。
BK145,泥岩,,104.79,112.500,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及及茎化化石，固结程度差，风化易碎。
BK145,细粒砂岩,,112.5,114.200,  灰白色，细砂状结构，厚层状构造，成分以石英为主，长石次之，云母少量，分选差，泥质胶结，胶结差，疏松易碎。
BK145,砂质泥岩,,114.2,133.760,  深灰色，泥质结构，块状构造，断口平坦状，砂多以粉砂为主，分布不均一，含少量炭屑，夹细砂岩薄层。
BK145,煤,6上煤,133.76,134.250,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，断口平坦状，污手，属暗淡型煤，风化易碎                           
BK145,泥岩,,134.25,137.090,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及及茎化化石，固结程度差，风化易碎。
BK145,砂质泥岩,,137.09,138.320,
BK145,煤,6煤,138.32,141.360,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，断口平坦状，污手，属暗淡型煤，风化易碎                           
BK145,泥岩,6煤,141.36,141.800,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及及茎化化石，固结程度差，风化易碎。
BK145,煤,6煤,141.8,155.510,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，断口平坦状，污手，属暗淡型煤，风化易碎                           
BK145,泥岩,6煤,155.51,156.130,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及及茎化化石，固结程度差，风化易碎。
BK145,煤,6煤,156.13,158.350,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，断口平坦状，污手，属暗淡型煤，风化易碎                           
BK145,粘土,6煤,158.35,158.610,
BK145,煤,6煤,158.61,158.960,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，断口平坦状，污手，属暗淡型煤，风化易碎                           
BK145,泥岩,6煤,158.96,159.230,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及及茎化化石，固结程度差，风化易碎。
BK145,煤,6煤,159.23,159.680,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，断口平坦状，污手，属暗淡型煤，风化易碎                           
BK145,泥岩,6煤,159.68,160.010,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及及茎化化石，固结程度差，风化易碎。
BK145,煤,6煤,160.01,160.340,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，断口平坦状，污手，属暗淡型煤，风化易碎                           
BK145,泥岩,,160.34,165.350,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，夹炭纸条带及粉砂岩薄层。
BK145,煤,6下煤,165.35,166.020,  黑褐色，块状，半暗型。
BK145,砂质泥岩,,166.02,175.200,  深灰色，泥质结构，块状构造，断口平坦状，砂多以粉砂为主，分布不均一，含少量炭屑，夹粉砂岩薄层。
