BK141,砂土,,0,3.000,  土黄色，松散，主要由风成砂土、坡积砂土组成，顶部富含现代植物根系，底部含砾。
BK141,砂砾岩,新生界第四系,3,6.000,"  土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径2-30mm,多呈次棱角状，分选差。"
BK141,粘土,,6,8.200,  褐黄色，半胶结状，主要由粘土矿物组成，具塑性，遇水膨胀，可搓成10-30mm细条。
BK141,细粒砂岩,,8.2,13.300,  灰绿色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母及暗色矿物少量，分选差，泥质胶结，均匀层理，疏松，易碎。
BK141,砂砾岩,,13.3,15.000,"  灰绿色，松散，砂多以中砂为主，含量约20%左右，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次圆状，泥质胶结。"
BK141,含砾泥岩,,15,30.000,"  灰绿色，泥质结构，块状构造，断口参差状，松软，砾多以英岩砾，火成岩砾组成，砾径2-20mm,大者可达40mm,多呈次圆状，分选差，含量约15%左右。"
BK141,泥岩,,30,42.200,  黑灰色，微显绿色，泥质结构，块状构造，易软化，断口参差状，易软化，夹粉砂岩薄层。
BK141,细粒砂岩,,42.2,43.100,  灰白色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母少量，分选中等，钙质胶结，致密，坚硬，均匀层理。
BK141,泥岩,上白垩统,43.1,52.500,  灰色-黑灰色，泥质结构，块状构造，断口平坦状，风化后呈碎块状，局部含少量炭化植物碎屑及粉砂。
BK141,粉砂岩,,52.5,53.200,  灰色，粉砂状结构，块状构造，泥质胶结，均匀层理。
BK141,泥岩,,53.2,67.700,  灰色-黑灰色，泥质结构，块状构造，断口参差状，含少量炭化植物碎屑及粉砂，底部夹炭质泥岩薄层。
BK141,煤,5煤,67.7,68.480,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸6层。
BK141,泥岩,5煤,68.48,68.690,  灰色，泥质结构，块状构造，断口平坦状，含炭屑及粉砂，局部夹煤线
BK141,煤,5煤,68.69,69.040,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸6层。
BK141,泥岩,5煤,69.04,69.620,  灰色，泥质结构，块状构造，断口平坦状，含炭屑及粉砂，局部夹煤线
BK141,煤,5煤,69.62,69.880,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸6层。
BK141,炭质泥岩,5煤,69.88,70.070,深灰色，深灰色，泥质结构。块状构造。成分以泥质碎屑为主，含炭质 及少量炭屑，松软，易破碎。
