BK136,泥岩,,123.8,124.680,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，半坚硬。
BK136,煤,,124.68,125.010,黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，呈褐 色条痕，断口平坦状，属暗淡型煤，其中有细砂岩夹矸1层，半坚硬。
BK136,泥岩,,125.01,127.260,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，半坚硬。
BK136,煤,6下煤,127.26,127.530,黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，呈褐 色条痕，断口平坦状，属暗淡型煤，其中有细砂岩夹矸1层，半坚硬。
BK136,泥岩,,127.53,128.000,灰黑色，泥质结构，块状构造，断口平坦状，含炭屑，夹粉砂岩及煤薄 层，半坚硬。
BK136,砂砾岩,,128,131.410,灰白色，砾状结构，块状构造，砾多以石英岩，火成岩砾组成，砾径2-1 0mm，多呈次棱角状，分选中等，钙质胶结，致密，坚硬。
BK136,砂质泥岩,,131.41,136.440,深灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口平 坦状，含炭屑及植物茎叶化石，半坚硬。
BK136,煤,,136.44,136.750,黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，呈褐 色条痕，断口平坦状，属暗淡型煤，其中有细砂岩夹矸1层，半坚硬。
BK136,砂质泥岩,,136.75,137.500,深灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口平 坦状，含炭屑及植物茎叶化石，半坚硬。
BK136,细粒砂岩,,137.5,147.800,灰白色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云 母少量，分选中等，泥质胶结，均匀层理，半坚硬。
