534850.36,4878530.57
534791.49,4878699.87
534623.54,4879026.84
535071.17,4878593.98
534985.05,4878776.79
534900.61,4878997.58
535392.72,4878492.14
535303.12,4878683.50
535231.55,4878852.77
535134.55,4879102.55
535056.14,4879256.50
535741.29,4878351.87
535622.13,4878560.13
535532.17,4878765.04
535459.15,4878956.26
535361.17,4879163.87
535273.20,4879387.83
535211.07,4879534.29
535947.84,4878438.12
535776.26,4878838.69
535695.08,4879029.61
535507.07,4879472.60
535410.26,4879678.81
536170.33,4878502.64
536082.30,4878722.80
535993.38,4878918.22
535918.44,4879102.16
535822.17,4879303.58
535721.81,4879534.19
535623.38,4879768.38
535540.16,4879989.40
536353.37,4878662.44
536300.59,4878779.05
536225.65,4878996.19
536137.14,4879173.92
536026.07,4879400.18
535942.39,4879627.02
535851.93,4879863.32
535754.08,4880067.34
536464.47,4878950.29
536413.89,4879060.41
536338.43,4879250.06
536234.15,4879462.13
536138.03,4879689.60
536036.26,4879929.76
535941.81,4880148.69
535846.52,4880380.61
536603.03,4879216.22
536531.39,4879333.52
536440.17,4879534.11
536349.79,4879765.35
536251.91,4880013.54
536123.44,4880258.18
536061.16,4880460.88
536742.52,4879371.60
536690.78,4879500.76
536649.32,4879664.72
536547.79,4879872.41
536471.80,4880132.24
536411.84,4880315.20
536920.92,4879686.53
536775.07,4879946.58
536685.48,4880185.55
537164.94,4879753.68
536984.11,4880038.38
